Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2']",0.014750942355768955,4.217420362243871,2.2896032203746177,7.231948618947726,14.705810201684766,101.0,50.0,1.970454
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3']",0.015153104385146905,5.04050886457112,2.5311822673729027,7.117375896832792,14.705792278920907,111.0,51.0,2.002185
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4']",0.015309196866703838,5.658272714311197,2.9341342281158025,6.959136766545046,14.705774943826881,135.0,51.0,2.047723
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2']",0.010156340893145372,4.391339409755797,2.177431527583512,6.98149556013361,14.705774060964442,159.0,51.0,2.041165
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3']",0.015367289365177249,5.085527009322391,2.429346037998801,7.1383827644466376,14.705740975818316,101.0,52.0,1.996327
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4']",0.01426649197068392,5.636271881081597,2.5199799545229924,6.402686593082133,14.705700511208418,119.0,52.0,2.225739
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2']",0.01213547996445208,4.479729287529008,2.1780726587940915,7.055515062050725,14.705025341442994,123.0,52.0,2.002483
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3']",0.008107394790987094,13.573204099128292,1.3342599376493287,0.1670779971524342,12.004355853517293,99.0,52.0,2.055793
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4']",0.015233051343076696,5.803688236326845,2.403831685030835,6.428929548771317,14.705565003923036,100.0,52.0,2.216725
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2']",0.013882614439962365,4.235544097760091,2.1967230494068657,6.939078125007609,14.705809025975734,101.0,53.0,2.053619
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3']",0.012598628240647997,5.10487826978053,2.4202579445359027,6.826685885732827,14.705790505416786,135.0,52.0,2.087441
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4']",0.01520747781069485,5.679686364360735,2.9910019662004386,7.089856332538787,14.705774877782087,139.0,52.0,2.009968
