Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",135.623,3.623,19.3791,17.9315,2.4719,126.0,66.0,"[27.4957, 26.4974, 29.87292, 28.20623]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",142.5162,4.5162,29.1234,18.0052,2.472,129.0,69.0,"[27.9479, 27.96238, 28.17651, 27.53389]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",146.8388,4.8388,58.0745,26.4112,2.4723,134.0,71.0,"[18.75286, 19.11001, 19.30978, 18.93088]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",153.6272,3.6272,37.9986,35.2825,2.4719,149.0,75.0,"[13.83481, 13.69413, 15.5239, 13.90611]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",160.4059,4.4059,53.1928,33.1062,2.472,151.0,78.0,"[14.46826, 15.9729, 15.98439, 14.27907]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",162.8802,4.8802,69.3161,32.2677,2.472,156.0,79.0,"[15.60313, 15.61533, 15.49817, 15.56638]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",161.8825,3.8825,37.4367,35.5313,2.4718,165.0,79.0,"[13.81862, 14.08474, 13.89992, 13.8427]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",166.5415,4.5415,53.7133,33.812,2.4719,170.0,81.0,"[14.44422, 14.66011, 14.66492, 14.70716]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",171.0306,5.0306,69.1523,32.2909,2.4719,175.0,83.0,"[15.5342, 16.11271, 15.28103, 15.30944]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",159.7053,3.7053,19.9315,18.1555,2.4719,131.0,78.0,"[26.8779, 26.92612, 29.79359, 27.09346]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",148.6548,4.6548,24.8726,15.1944,2.4721,130.0,72.0,"[31.98751, 33.04104, 34.87781, 32.36423]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",148.9763,4.9763,58.3928,26.0475,2.4725,136.0,72.0,"[19.15935, 19.29858, 19.1696, 19.54518]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",155.7462,3.7462,36.7546,33.8107,2.472,148.0,76.0,"[14.46221, 14.94476, 15.13888, 14.89362]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",158.6074,4.6074,48.2184,29.7049,2.4721,152.0,77.0,"[17.24041, 16.4034, 17.8172, 16.19864]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",161.1685,5.1685,58.57,26.1421,2.4726,154.0,78.0,"[19.39283, 19.28621, 19.08605, 19.13157]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",163.9927,3.9927,38.1553,35.1899,2.472,164.0,80.0,"[15.16416, 13.80484, 14.70961, 13.43167]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",166.8458,4.8458,45.8498,28.1899,2.4721,168.0,81.0,"[18.02467, 17.61334, 17.59187, 18.06622]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",167.2516,5.2516,59.1437,26.3306,2.4727,173.0,81.0,"[19.11671, 19.25868, 18.9192, 19.05342]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",155.8705,3.8705,20.5969,19.0289,2.524,131.0,76.0,"[26.44395, 25.82595, 26.50696, 26.71473]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",148.7173,4.7173,29.6359,18.2854,2.5242,131.0,72.0,"[26.48645, 26.77729, 30.65145, 25.87331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",149.0966,5.0966,61.2471,27.9172,2.5244,136.0,72.0,"[18.03261, 17.86003, 18.31106, 17.71158]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",155.9253,3.9253,38.3817,35.5879,2.5241,149.0,76.0,"[14.51575, 14.34092, 14.27394, 13.27658]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",158.5228,4.5228,57.3868,35.7314,2.5241,153.0,77.0,"[14.09923, 14.27219, 14.12997, 13.68014]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",161.0387,5.0387,73.0205,33.9911,2.5242,154.0,78.0,"[14.67017, 14.95862, 14.913, 14.51734]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",162.0036,4.0036,39.0326,37.0187,2.524,165.0,79.0,"[14.26287, 13.0054, 13.04094, 13.04221]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",164.6779,4.6779,55.6282,35.0234,2.5241,170.0,80.0,"[14.03493, 14.03002, 14.47939, 13.84785]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",169.1048,5.1048,73.4622,34.4443,2.5242,176.0,82.0,"[14.68503, 14.64514, 14.43973, 14.51287]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",161.9647,3.9647,20.2428,18.3028,2.5241,131.0,79.0,"[28.53424, 26.45667, 28.63228, 26.05418]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",148.821,4.821,26.2809,16.1051,2.5242,129.0,72.0,"[30.6903, 30.23219, 30.08209, 33.64737]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",147.2641,5.2641,61.825,27.7052,2.5245,136.0,71.0,"[18.06118, 18.473, 17.84082, 18.09434]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",153.9677,3.9677,40.2499,37.0403,2.5241,149.0,75.0,"[13.68091, 14.32465, 13.41881, 12.77154]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",158.8099,4.8099,52.6653,32.4261,2.5242,153.0,77.0,"[15.30026, 15.74511, 15.49515, 15.371]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",161.3337,5.3337,62.4507,27.8884,2.5246,156.0,78.0,"[17.85994, 18.30737, 17.93094, 17.89665]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",162.2225,4.2225,39.277,36.1115,2.5241,163.0,79.0,"[14.26971, 14.03531, 13.03092, 14.25415]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",164.9881,4.9881,47.6448,29.2546,2.5243,168.0,80.0,"[17.38827, 16.99116, 16.76859, 17.47605]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",169.3496,5.3496,62.1168,27.6373,2.5246,174.0,82.0,"[18.26121, 18.46168, 17.84463, 18.08137]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",157.6477,3.6477,19.627,18.1655,2.4719,131.0,77.0,"[28.41853, 27.1165, 28.35457, 26.73937]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",150.519,4.519,29.2561,18.095,2.472,130.0,73.0,"[28.13346, 27.76868, 27.58167, 27.58307]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",148.8633,4.8633,57.2458,25.9249,2.4723,136.0,72.0,"[19.14324, 19.4402, 19.60359, 19.34245]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",155.6916,3.6916,36.1204,33.578,2.4719,150.0,76.0,"[15.30179, 14.47621, 14.91526, 15.15699]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",156.415,4.415,52.9529,32.9832,2.4719,151.0,76.0,"[14.90634, 16.19391, 15.33476, 14.49525]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",160.8843,4.8843,69.3198,32.2416,2.472,155.0,78.0,"[15.49032, 15.79219, 15.54051, 15.5102]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",161.8578,3.8578,37.0193,35.1072,2.4718,165.0,79.0,"[13.64764, 13.60907, 15.40782, 13.65364]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",166.5464,4.5464,52.5703,33.0794,2.4719,170.0,81.0,"[14.93693, 14.69178, 14.64482, 15.49763]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",171.0298,5.0298,68.0924,31.8177,2.4719,175.0,83.0,"[15.55658, 16.3111, 15.53369, 15.76092]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",159.8062,3.8062,19.4305,17.7184,2.4719,130.0,78.0,"[26.89368, 29.77292, 26.87444, 29.88069]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",148.6113,4.6113,25.4914,15.6369,2.4721,130.0,72.0,"[32.11621, 31.68781, 32.81551, 31.90776]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",148.9562,4.9562,58.6216,26.2192,2.4725,136.0,72.0,"[19.55395, 18.87071, 19.10273, 19.14046]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",155.7497,3.7497,37.3394,34.4247,2.472,150.0,76.0,"[13.92509, 14.69171, 14.89158, 14.87085]"
