Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",157.0403,21.0403,0.8039,2.0287,2.1262,128.0,68.0,"[82.97996, 83.07338, 82.52685, 84.05474]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",165.8533,21.8533,2.0997,2.6258,2.1329,128.0,72.0,"[67.69906, 62.87053, 67.87997, 61.29887]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",168.2658,24.2658,5.3373,3.3166,2.1397,129.0,72.0,"[51.80745, 52.15092, 51.91413, 51.98514]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",166.2594,16.2594,1.6789,4.1499,2.1397,144.0,75.0,"[41.45453, 41.59554, 41.54746, 41.52222]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",173.434,19.434,4.4859,5.8067,2.1527,153.0,77.0,"[30.881, 30.22378, 30.06423, 30.05233]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",177.9432,19.9432,10.7788,6.8435,2.1655,157.0,79.0,"[26.25011, 26.47168, 26.01641, 26.25466]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",175.4016,15.4016,2.432,6.028,2.1527,170.0,80.0,"[27.67174, 28.30924, 29.33473, 30.43985]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",180.448,16.448,6.4698,8.3586,2.1718,177.0,82.0,"[21.15534, 21.82563, 22.05879, 21.29138]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",180.4553,16.4553,15.6205,10.0602,2.1897,181.0,82.0,"[18.30842, 19.51035, 18.21876, 18.27155]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",180.4272,20.4272,0.8021,1.9749,2.1262,130.0,80.0,"[85.98011, 84.31825, 87.30027, 84.10218]"
