Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",128.8968,2.8968,4.3734,33.1868,3.1943,127.0,63.0,"[13.10293, 11.71344, 11.62592, 11.58774]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",137.6395,3.6395,6.1919,38.3798,3.1944,128.0,67.0,"[11.007, 11.09537, 9.70485, 9.725894]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",138.2217,4.2217,10.164,45.9966,3.1945,131.0,67.0,"[8.628301, 8.665733, 8.672667, 8.690169]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",144.9919,2.9919,7.4493,56.1915,3.1945,153.0,71.0,"[7.29851, 6.996787, 7.022009, 7.051706]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",149.6794,3.6794,12.085,74.3022,3.1947,159.0,73.0,"[5.246227, 5.530083, 5.344981, 5.334757]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",154.313,4.313,18.2726,81.6998,3.1949,162.0,75.0,"[4.922734, 4.88385, 4.832411, 4.875942]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",155.0734,3.0734,10.7995,81.0711,3.1947,178.0,76.0,"[4.837845, 4.859711, 4.903675, 4.890576]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",157.8398,3.8398,15.3829,93.5187,3.1951,187.0,77.0,"[4.301286, 4.271796, 4.311834, 4.064519]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",158.4677,4.4677,23.0573,101.8308,3.1954,189.0,77.0,"[3.858727, 4.052241, 3.848579, 3.900085]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",148.8927,2.8927,4.3692,33.183,3.1943,130.0,73.0,"[13.02399, 11.6892, 11.59754, 11.7249]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",141.596,3.596,6.5146,40.4051,3.1944,131.0,69.0,"[9.979691, 9.996133, 9.713241, 9.762166]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",144.2216,4.2216,10.0935,45.6981,3.1945,133.0,70.0,"[8.695961, 8.745216, 8.732844, 8.709252]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",150.9308,2.9308,8.0274,60.55,3.1945,155.0,74.0,"[7.059366, 6.164054, 6.978004, 6.125539]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",153.7117,3.7117,11.4047,70.0252,3.1947,159.0,75.0,"[5.275114, 5.968184, 6.169023, 5.354206]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",156.3184,4.3184,18.0166,80.5586,3.1949,162.0,76.0,"[4.965359, 4.985845, 4.92779, 4.912368]"
