Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",128.3783,6.3783,38.5891,15.0492,7.6361,139.0,61.0,"[30.23012, 30.50935, 30.24611, 29.026]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",139.4987,7.4987,62.4279,18.3219,7.6366,145.0,66.0,"[26.26434, 23.97222, 24.57529, 23.76964]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",142.6449,8.6449,95.5223,20.093,7.6381,150.0,67.0,"[22.27435, 22.58938, 22.59051, 22.45478]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",152.3357,6.3357,66.0588,26.0153,7.6359,164.0,73.0,"[16.86711, 17.22815, 17.63855, 17.68807]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",157.7337,7.7337,98.7285,29.1743,7.6363,172.0,75.0,"[15.16608, 16.25985, 15.55091, 14.93137]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",161.4341,9.4341,156.8979,33.2588,7.6375,178.0,76.0,"[13.43044, 13.67897, 13.74955, 13.45513]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",162.7853,6.7853,88.1724,34.7469,7.6359,187.0,78.0,"[13.06062, 12.65479, 12.8304, 13.02434]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",166.2179,8.2179,123.9509,36.4344,7.6361,193.0,79.0,"[12.01173, 12.58703, 12.00878, 12.57589]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",170.796,10.796,150.7055,31.9269,7.6374,197.0,80.0,"[14.09153, 14.26208, 14.09277, 14.1326]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",162.5676,6.5676,40.5179,15.7204,7.6362,143.0,78.0,"[28.1617, 27.94972, 30.31511, 28.46259]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",151.5169,7.5169,59.3849,17.4393,7.6369,145.0,72.0,"[26.33354, 25.87783, 26.72203, 24.64095]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",152.5791,8.5791,92.1056,19.1829,7.6385,152.0,72.0,"[23.51361, 23.59813, 23.52967, 23.53834]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",156.4727,6.4727,66.6507,25.9052,7.6362,166.0,75.0,"[17.25435, 17.58204, 18.06222, 16.82113]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",159.5554,7.5554,91.3603,26.8653,7.6367,174.0,76.0,"[16.19343, 17.44267, 16.16762, 17.42863]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",163.6247,9.6247,151.498,31.5922,7.6382,179.0,77.0,"[14.10277, 14.35546, 14.35238, 14.37334]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",164.7429,6.7429,83.3412,32.445,7.6361,188.0,79.0,"[13.6415, 13.64663, 14.30996, 13.63299]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",168.4987,8.4987,117.0849,34.5016,7.6366,194.0,80.0,"[12.98203, 12.82163, 13.23768, 13.10562]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",171.7772,9.7772,135.7681,28.358,7.6381,198.0,81.0,"[16.0185, 15.9828, 15.93343, 15.7703]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",160.4026,6.4026,39.511,16.8122,8.0931,142.0,77.0,"[30.35533, 30.2871, 27.7572, 27.50935]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",151.5303,7.5303,61.2051,19.3691,8.0933,146.0,72.0,"[26.09137, 24.81319, 25.66589, 24.03939]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",152.6744,8.6744,95.8551,21.8,8.0945,151.0,72.0,"[22.2957, 22.49423, 22.32317, 22.29095]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",156.5032,6.5032,67.9456,28.8692,8.093,166.0,75.0,"[17.22131, 16.58375, 17.51757, 16.17651]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",159.9551,7.9551,101.843,32.5073,8.093,174.0,76.0,"[14.88994, 15.16086, 14.97062, 14.9235]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",165.5299,9.5299,157.0153,35.9875,8.0941,179.0,78.0,"[13.4646, 13.68547, 13.50865, 13.49663]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",164.8444,6.8444,87.131,37.0327,8.0929,188.0,79.0,"[12.79567, 12.87852, 13.07146, 13.46212]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",168.2758,8.2758,122.9051,38.9885,8.0929,195.0,80.0,"[11.98952, 12.63808, 12.56079, 12.40079]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",174.9218,10.9218,151.0113,34.5819,8.094,198.0,82.0,"[14.07354, 14.09967, 14.09131, 14.09133]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",164.5927,6.5927,40.4642,16.8996,8.0933,143.0,79.0,"[28.40597, 28.56762, 27.93199, 30.40535]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",153.4237,7.4237,59.3516,18.7648,8.0938,149.0,73.0,"[26.25767, 26.7025, 26.24893, 24.64645]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",154.6398,8.6398,92.0096,20.7279,8.0951,151.0,73.0,"[23.52574, 23.76638, 23.37037, 23.37206]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",158.5499,6.5499,68.329,28.6534,8.0933,167.0,76.0,"[16.80178, 17.10426, 16.83683, 17.26692]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",159.5886,7.5886,92.745,29.4589,8.0934,174.0,76.0,"[16.22669, 17.44077, 15.96102, 16.52246]"
