Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",126.2734,6.2734,29.4977,1.4223,1.3718,122.0,60.0,"[9.232343, 9.288651, 10.13251, 10.1759]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",131.9608,7.9608,62.1172,1.7302,1.3993,127.0,62.0,"[8.045647, 8.035842, 8.800329, 8.004936]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",138.6182,10.6182,95.3992,1.8618,1.4458,130.0,64.0,"[8.0179, 8.074975, 8.028455, 8.063718]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",140.2932,6.2932,53.607,2.8108,1.4458,142.0,67.0,"[5.503446, 4.859471, 5.467532, 5.488485]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",143.976,7.976,113.0219,3.7286,1.5503,153.0,68.0,"[4.474291, 4.45438, 4.444078, 4.648217]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",150.6193,10.6193,173.4961,4.424,1.6895,159.0,70.0,"[4.441257, 4.420897, 4.396385, 4.403314]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",146.2264,6.2264,73.7622,4.3666,1.5502,169.0,70.0,"[3.851323, 3.784796, 3.806796, 3.807871]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",147.7448,7.7448,142.3419,6.0195,1.775,163.0,70.0,"[3.52444, 3.604675, 3.595451, 3.433631]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",152.2308,10.2308,222.7493,8.1176,2.0138,165.0,71.0,"[3.364326, 3.560151, 3.375908, 3.363075]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",140.2122,6.2122,28.962,1.3936,1.3718,125.0,67.0,"[9.969574, 9.331918, 10.16804, 10.16152]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",141.9711,7.9711,60.5657,1.6838,1.3992,129.0,67.0,"[8.969059, 8.008461, 8.479614, 8.333398]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",143.8073,9.8073,100.6413,1.9668,1.4458,131.0,67.0,"[7.619721, 7.583557, 7.567824, 7.697155]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",144.127,6.127,53.0959,2.7741,1.4459,141.0,69.0,"[5.23916, 5.478971, 5.579209, 5.305485]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",145.9283,7.9283,113.7302,3.739,1.5502,149.0,69.0,"[4.674359, 4.472696, 4.445374, 4.377283]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",149.7865,9.7865,181.9369,4.6279,1.689,154.0,70.0,"[4.168731, 4.226861, 4.218995, 4.26346]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",144.1887,6.1887,75.0592,4.4015,1.5506,159.0,69.0,"[3.747222, 3.739116, 3.812481, 3.838776]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",149.6957,7.6957,149.5482,6.2697,1.7756,163.0,71.0,"[3.34868, 3.558085, 3.382954, 3.313834]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",153.5053,9.5053,239.4159,8.6355,2.0126,171.0,72.0,"[3.174572, 3.351111, 3.132934, 3.178164]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",142.2426,6.2426,29.41,1.4221,1.3718,124.0,68.0,"[9.28329, 9.938698, 9.325692, 10.28685]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",142.1076,8.1076,58.263,1.6196,1.3992,128.0,67.0,"[9.023654, 8.033104, 9.039246, 9.035544]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",142.8157,10.8157,94.5069,1.8457,1.4457,132.0,66.0,"[8.068034, 8.316851, 8.041761, 8.037726]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",144.2358,6.2358,54.8358,2.8812,1.4458,141.0,69.0,"[5.244817, 5.234475, 4.842951, 5.476065]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",147.8449,7.8449,114.1006,3.7653,1.5503,148.0,70.0,"[4.431659, 4.615123, 4.416428, 4.381776]"
