Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",135.2417,3.2417,13.6915,14.5946,2.6245,126.0,66.0,"[24.67683, 24.41604, 25.28504, 27.23436]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",141.6883,3.6883,21.3289,13.5168,2.6378,128.0,69.0,"[27.67618, 27.79132, 27.51391, 27.46506]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",149.0401,5.0401,42.5978,18.3539,2.6408,132.0,72.0,"[20.26455, 20.51862, 20.43874, 20.24203]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",153.4936,3.4936,22.3102,23.8789,2.6406,145.0,75.0,"[15.07039, 15.7507, 15.80979, 15.98068]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",156.28,4.28,32.9496,22.952,2.6396,150.0,76.0,"[16.02823, 16.23916, 16.90458, 15.94267]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",162.9654,4.9654,43.8751,22.3315,2.6397,152.0,79.0,"[16.71873, 16.673, 16.75342, 16.78104]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",161.7384,3.7384,20.6107,24.1801,2.6393,160.0,79.0,"[16.00571, 14.85554, 15.01993, 14.92288]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",166.4302,4.4302,29.78,22.4759,2.6391,165.0,81.0,"[15.76926, 15.76682, 16.83543, 17.03823]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",168.9745,4.9745,40.9267,22.2477,2.6393,170.0,82.0,"[16.57438, 17.54912, 16.54499, 16.49858]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",161.1039,3.1039,14.0087,14.4499,2.6248,130.0,79.0,"[26.86149, 26.35518, 24.95306, 24.47062]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",151.6145,3.6145,19.286,12.5862,2.6383,130.0,74.0,"[30.06529, 29.60446, 29.833, 29.12976]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",151.0396,5.0396,42.825,17.6628,2.6417,131.0,73.0,"[21.11147, 21.54329, 21.09307, 20.93341]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",155.4685,3.4685,23.3122,23.9381,2.6419,146.0,76.0,"[15.16958, 15.83666, 15.31853, 16.16185]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",158.5532,4.5532,32.9911,20.5779,2.6418,149.0,77.0,"[17.53654, 18.10735, 18.02932, 19.01523]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",161.2203,5.2203,43.0528,17.6517,2.6418,150.0,78.0,"[21.20007, 20.88048, 21.44475, 21.21305]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",163.8529,3.8529,23.6242,24.2702,2.642,161.0,80.0,"[15.55289, 14.77447, 16.144, 15.16148]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",168.7799,4.7799,32.5545,20.4102,2.6419,164.0,82.0,"[18.35594, 18.10776, 18.79468, 18.02927]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",169.2697,5.2697,43.619,17.7427,2.6416,170.0,82.0,"[20.9306, 21.32738, 21.06566, 20.97347]"
