Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",135.4375,7.4375,29.1727,20.9319,6.6879,135.0,64.0,"[23.50319, 22.94774, 25.48664, 22.38909]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",144.5506,8.5506,49.83,25.0281,6.6916,143.0,68.0,"[20.12529, 19.79222, 18.96784, 20.04755]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",151.972,9.972,79.7779,29.4809,6.692,146.0,71.0,"[16.69637, 16.68436, 16.72198, 16.91328]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",157.2173,7.2173,51.6686,37.2488,6.6872,164.0,75.0,"[13.08033, 12.92052, 13.47473, 13.52632]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",162.0383,8.0383,90.4121,45.4427,6.6906,175.0,77.0,"[11.17802, 11.218, 10.55327, 10.51785]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",169.3561,9.3561,139.328,51.3824,6.6919,183.0,80.0,"[9.492118, 9.713803, 9.498011, 9.746605]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",167.1395,7.1395,70.2604,50.5632,6.6872,192.0,80.0,"[9.888931, 9.285956, 9.669597, 9.894861]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",172.6181,8.6181,123.9546,62.428,6.6919,207.0,82.0,"[7.555097, 8.017924, 7.843991, 8.025722]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",174.963,8.963,169.1371,62.6607,6.6907,205.0,83.0,"[7.866559, 8.058326, 7.770126, 7.829416]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",163.5641,7.5641,29.4606,21.0822,6.6882,142.0,78.0,"[23.23665, 22.53876, 25.48574, 22.39737]"
