Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",133.8546,5.8546,15.297,9.1925,2.6524,128.0,64.0,"[37.59309, 34.21985, 33.80684, 33.67992]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",144.4745,6.4745,23.4203,9.0555,2.6534,131.0,69.0,"[36.372, 33.12081, 34.42991, 37.54331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",149.3029,7.3029,51.1148,13.9784,2.6541,137.0,71.0,"[22.93135, 23.011, 22.91861, 22.80784]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",157.7708,5.7708,28.2103,16.9283,2.6525,151.0,76.0,"[18.84557, 18.69861, 19.19939, 18.90647]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",159.8921,5.8921,42.3897,17.503,2.6528,157.0,77.0,"[18.25338, 18.33317, 18.43315, 18.15505]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",164.0894,6.0894,53.6981,16.7693,2.6531,161.0,79.0,"[19.01134, 18.96857, 19.17057, 19.23446]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",165.0832,5.0832,26.4326,17.5837,2.6525,166.0,80.0,"[17.56548, 18.92955, 17.63842, 17.52091]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",171.4581,5.4581,36.4997,16.7172,2.6528,172.0,83.0,"[18.74001, 20.00123, 18.31126, 18.32619]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",171.7216,5.7216,48.7426,16.7033,2.6532,178.0,83.0,"[19.09163, 19.76683, 18.92103, 18.91051]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",162.0043,6.0043,15.4561,8.8756,2.6521,134.0,78.0,"[36.71548, 34.84261, 36.55423, 36.14742]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",154.2298,6.2298,21.6684,8.2677,2.653,133.0,74.0,"[41.24903, 37.94225, 37.65489, 38.07822]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",153.5151,7.5151,53.3483,14.3288,2.6541,138.0,73.0,"[22.31595, 22.55167, 22.24851, 22.30965]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",157.9639,5.9639,30.9768,17.9978,2.6521,153.0,76.0,"[17.92482, 17.8341, 17.96016, 17.42457]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",162.1877,6.1877,42.7791,16.3187,2.6532,155.0,78.0,"[19.36358, 19.73181, 19.90864, 19.49251]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",164.3079,6.3079,53.9206,14.4014,2.6543,158.0,79.0,"[22.17169, 22.30312, 22.44604, 22.06512]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",165.535,5.535,30.5558,17.7396,2.6522,168.0,80.0,"[18.27845, 18.37874, 17.15608, 18.3696]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",167.8517,5.8517,39.9466,15.2097,2.6534,172.0,81.0,"[21.79141, 20.91285, 19.6647, 21.85826]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",171.9738,5.9738,53.6279,14.2727,2.6546,177.0,83.0,"[22.25187, 22.79807, 22.22338, 22.52536]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",158.2745,6.2745,15.6026,9.4345,2.6537,133.0,76.0,"[35.52212, 33.34261, 36.06754, 33.20331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",150.7295,6.7295,25.7054,10.0623,2.6547,133.0,72.0,"[31.83006, 34.44388, 31.75042, 31.54391]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",151.8851,7.8851,51.9207,14.3572,2.6554,138.0,72.0,"[22.6035, 23.24175, 22.69866, 22.28888]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",156.2798,6.2798,30.3715,18.4211,2.6539,153.0,75.0,"[17.9683, 17.14674, 17.69228, 17.94652]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",160.1691,6.1691,44.0221,18.4085,2.6542,157.0,77.0,"[17.70081, 17.71289, 17.42039, 17.97651]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",164.3073,6.3073,56.0436,17.7684,2.6545,159.0,79.0,"[18.25079, 18.51404, 18.23513, 18.3695]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",165.3125,5.3125,28.0472,18.9447,2.6539,169.0,80.0,"[16.80848, 16.98322, 16.84759, 17.04925]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",167.582,5.582,38.0007,17.6872,2.6543,170.0,81.0,"[17.74228, 19.3277, 17.77535, 17.66575]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",169.8315,5.8315,50.1877,17.5388,2.6546,178.0,82.0,"[18.31107, 18.9279, 18.66019, 18.43509]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",164.4148,6.4148,16.3451,9.4772,2.6535,133.0,79.0,"[32.46062, 35.73906, 33.76098, 35.54033]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",150.544,6.544,22.392,8.6431,2.6544,131.0,72.0,"[39.48479, 38.05488, 36.96953, 36.31612]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",152.2063,8.2063,54.803,14.8684,2.6554,138.0,72.0,"[21.89266, 22.10176, 21.92376, 21.79179]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",156.3689,6.3689,31.3201,18.3271,2.6535,152.0,75.0,"[17.91298, 17.78273, 17.84286, 17.5672]"
