Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",135.1339,3.1339,7.29,4.2936,2.6777,125.0,66.0,"[31.05191, 30.73241, 32.90294, 32.46303]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",137.9782,3.9782,13.0836,4.912,2.679,128.0,67.0,"[28.01263, 28.06014, 28.42288, 26.73073]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",142.6226,4.6226,22.1411,5.554,2.6793,129.0,69.0,"[24.50128, 24.68498, 24.72114, 24.49331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",149.4452,3.4452,12.1857,7.1973,2.6783,143.0,73.0,"[18.98666, 18.54616, 19.19206, 19.18355]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",154.2222,4.2222,22.4931,8.2775,2.6794,150.0,75.0,"[16.69081, 16.1519, 16.48895, 16.73129]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",154.9133,4.9133,36.7919,9.0527,2.6801,152.0,75.0,"[15.03661, 15.09367, 15.2447, 15.07316]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",155.7727,3.7727,15.1126,8.8854,2.6788,160.0,76.0,"[15.39965, 15.11998, 15.20616, 15.25533]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",160.6047,4.6047,27.9722,10.0715,2.6801,166.0,78.0,"[13.4127, 13.58533, 13.39859, 13.61877]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",163.2579,5.2579,45.2215,10.9212,2.6809,173.0,79.0,"[12.46727, 13.14797, 12.27825, 12.27694]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",157.0921,3.0921,7.0882,4.2054,2.6777,129.0,77.0,"[33.7153, 30.59284, 32.26893, 33.24023]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",145.9476,3.9476,13.1489,5.013,2.679,128.0,71.0,"[26.11564, 29.08813, 26.75263, 27.02689]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",144.5161,4.5161,21.8294,5.6009,2.6792,129.0,70.0,"[24.48811, 24.49007, 24.31215, 24.28446]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",149.4445,3.4445,12.0194,7.2369,2.6783,142.0,73.0,"[19.20956, 19.45434, 18.44863, 18.37959]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",154.1802,4.1802,21.5662,8.1573,2.6793,147.0,75.0,"[16.92275, 16.94126, 16.03887, 17.1321]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",156.71,4.71,36.5936,9.3628,2.6799,152.0,76.0,"[14.58191, 14.61316, 14.57087, 14.67697]"
