Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",108.2536,4.2536,0.5826,0.0765,2.2469,98.0,52.0,"[0.6194102, 0.5280812, 0.5306494, 0.5524399]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",110.7473,4.7473,0.7837,0.0709,2.2503,102.0,53.0,"[0.6458939, 0.634395, 0.5579047, 0.5708316]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",112.9947,4.9947,0.9831,0.0682,2.2538,101.0,54.0,"[0.6254999, 0.5882699, 0.6464893, 0.649598]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",112.6266,4.6266,0.5885,0.0759,2.2538,101.0,54.0,"[0.6074469, 0.5392822, 0.5414705, 0.5677738]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",115.0349,5.0349,0.8649,0.0779,2.2606,100.0,55.0,"[0.5384782, 0.5449885, 0.5531923, 0.5696356]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",117.2275,5.2275,1.0801,0.0744,2.2675,100.0,56.0,"[0.5875929, 0.57536, 0.5387681, 0.6167783]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",112.7571,4.7571,0.575,0.0748,2.2607,101.0,54.0,"[0.5868952, 0.5197337, 0.6113513, 0.580137]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",115.2487,5.2487,0.6845,0.0614,2.2759,101.0,55.0,"[0.5413826, 0.7838844, 0.7647711, 0.7331406]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",115.4474,5.4474,0.8688,0.0563,2.2868,100.0,55.0,"[0.7760206, 0.7782552, 0.7684857, 0.7746661]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",114.2576,4.2576,0.3966,0.0761,2.2409,99.0,55.0,"[0.5871, 0.5190203, 0.5396466, 0.5876058]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",114.829,4.829,0.4033,0.073,2.2413,100.0,55.0,"[0.5725771, 0.6118266, 0.563903, 0.5823808]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",115.0272,5.0272,0.5102,0.0708,2.2418,100.0,55.0,"[0.6295607, 0.6244114, 0.5704049, 0.5769303]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",114.6088,4.6088,0.4365,0.0733,2.2417,106.0,55.0,"[0.5618872, 0.5900985, 0.6031188, 0.5653513]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",115.0705,5.0705,0.4242,0.0764,2.2425,100.0,55.0,"[0.5897719, 0.5439705, 0.5430593, 0.5515266]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",115.2231,5.2231,0.5133,0.0744,2.2435,126.0,55.0,"[0.6058356, 0.5376938, 0.5266089, 0.6175363]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",116.7638,4.7637,0.423,0.0782,2.2425,111.0,56.0,"[0.5151618, 0.5667646, 0.5599948, 0.5334729]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",117.2059,5.2059,0.4457,0.0759,2.2757,100.0,56.0,"[0.5840236, 0.5718989, 0.5944822, 0.5335327]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",117.4246,5.4246,0.4415,0.0572,2.2867,100.0,56.0,"[0.7616065, 0.7335734, 0.7586098, 0.7945638]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",116.2437,4.2437,0.5779,0.0759,2.2395,100.0,56.0,"[0.5482663, 0.5182791, 0.5475417, 0.6464156]"
