Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '2', 'scatter']",114.2756,4.2756,0.6942,0.0716,2.0663,100.0,55.0,"[0.5183681, 0.5301364, 0.5206841, 0.5939112]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '3', 'scatter']",118.7622,4.7622,0.9214,0.0671,2.0699,102.0,57.0,"[0.6103508, 0.5934527, 0.55959, 0.549796]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '4', 'scatter']",119.0083,5.0083,1.2021,0.068,2.0735,112.0,57.0,"[0.5694815, 0.5691653, 0.5643549, 0.5844374]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '2', 'scatter']",118.6023,4.6023,0.6824,0.07,2.0734,100.0,57.0,"[0.5442573, 0.5645781, 0.5655315, 0.5476497]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '3', 'scatter']",121.0333,5.0333,0.9424,0.0686,2.0805,101.0,58.0,"[0.5793649, 0.5547728, 0.5642234, 0.5767146]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '4', 'scatter']",121.2249,5.2249,0.9507,0.0533,2.0877,101.0,58.0,"[0.7688851, 0.8024773, 0.7826124, 0.5902613]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '57', '2', 'scatter']",120.767,4.767,0.6914,0.0706,2.0806,130.0,58.0,"[0.5234007, 0.5580988, 0.5545723, 0.5743341]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '57', '3', 'scatter']",119.1964,5.1964,0.7357,0.0529,2.0963,100.0,57.0,"[0.7331563, 0.7558575, 0.742588, 0.7452284]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '57', '4', 'scatter']",121.4417,5.4417,1.0104,0.0537,2.1075,100.0,58.0,"[0.7262405, 0.765079, 0.7204835, 0.7447317]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '2', 'balanced']",118.2665,4.2665,0.5158,0.0674,2.0602,100.0,57.0,"[0.5768244, 0.6090203, 0.5276041, 0.576326]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '3', 'balanced']",122.7868,4.7868,0.4886,0.0641,2.0606,107.0,59.0,"[0.6002758, 0.6279955, 0.5904677, 0.5898265]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '19', '4', 'balanced']",121.0371,5.0371,0.6335,0.0653,2.0611,114.0,58.0,"[0.6278987, 0.5831634, 0.5966896, 0.557273]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '2', 'balanced']",122.6329,4.6329,0.4675,0.063,2.061,121.0,59.0,"[0.598719, 0.614894, 0.6372459, 0.5986323]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '3', 'balanced']",121.0468,5.0468,0.5237,0.0679,2.0619,116.0,58.0,"[0.56319, 0.600089, 0.5582513, 0.5544243]"
"['-O3 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', 'LD_PRELOAD=/home/echristof/hugetlbfs/obj64/libhugetlbfs.so HUGETLB_MORECORE=yes ', '38', '4', 'balanced']",121.2157,5.2157,0.5793,0.0628,2.0629,101.0,58.0,"[0.5329545, 0.7701064, 0.5459463, 0.6135815]"
