Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",115.8765,1.8765,0.0473,0.0018,7.0783,98.0,57.0,"[7.470291, 7.495395, 8.084014, 7.446744]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",119.9313,1.9313,0.0649,0.0019,7.1101,100.0,59.0,"[7.448612, 7.539142, 7.51923, 7.517086]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",121.9815,1.9815,0.0872,0.0019,7.1455,100.0,60.0,"[7.448302, 7.54596, 7.527776, 7.469304]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",119.9335,1.9335,0.0464,0.0019,7.1407,101.0,59.0,"[7.457842, 7.475395, 7.573945, 7.545704]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",120.0009,2.0009,0.0642,0.0019,7.2043,102.0,59.0,"[7.448396, 7.478637, 7.487571, 7.626048]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",120.0909,2.0909,0.0874,0.002,7.2662,116.0,59.0,"[7.494499, 7.504955, 7.382238, 7.406984]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",122.0125,2.0125,0.0459,0.0019,7.2048,101.0,60.0,"[7.425369, 7.473676, 7.396367, 7.50686]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",122.1497,2.1497,0.0647,0.002,7.3078,105.0,60.0,"[7.438599, 7.47443, 7.513089, 7.464611]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",122.2798,2.2798,0.087,0.002,7.3945,101.0,60.0,"[7.698355, 7.731404, 7.670496, 7.679299]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",121.9023,1.9023,0.0483,0.0018,7.0472,100.0,60.0,"[7.442164, 7.425795, 7.509616, 7.498852]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",121.9427,1.9427,0.065,0.0019,7.0636,101.0,60.0,"[7.488468, 7.555222, 7.433305, 7.523859]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",119.99,1.99,0.0874,0.0019,7.0806,101.0,59.0,"[7.475361, 7.524449, 7.444516, 7.44635]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",121.9309,1.9309,0.0466,0.0019,7.0789,100.0,60.0,"[7.461588, 7.500214, 7.479101, 7.53724]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",122.1224,2.1224,0.0648,0.0019,7.113,103.0,60.0,"[7.393887, 7.500512, 7.455954, 7.481988]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",122.5124,2.5124,0.087,0.0019,7.1464,103.0,60.0,"[7.448876, 7.511878, 7.467932, 7.455105]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",122.2012,2.2012,0.0459,0.0019,7.1135,103.0,60.0,"[7.495695, 7.405118, 7.466261, 7.549559]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",122.1872,2.1872,0.065,0.002,7.3073,105.0,60.0,"[7.434915, 7.496483, 7.438602, 7.440405]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",122.6465,2.6465,0.0867,0.002,7.3943,132.0,60.0,"[7.912744, 7.677905, 7.792516, 7.672764]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",121.9184,1.9184,0.0483,0.0016,5.4015,100.0,60.0,"[7.464006, 7.494239, 7.532084, 7.505429]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",121.9372,1.9372,0.0652,0.0016,5.4465,100.0,60.0,"[7.557936, 7.507752, 7.535082, 7.471493]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",123.9842,1.9842,0.0879,0.0016,5.4939,100.0,61.0,"[7.41581, 7.534016, 7.48195, 7.572325]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",121.9388,1.9388,0.047,0.0016,5.4897,101.0,60.0,"[7.47663, 7.49435, 7.410652, 7.491811]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",124.0121,2.0121,0.0648,0.0017,5.5788,120.0,61.0,"[7.454149, 7.540133, 7.534922, 7.415014]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",122.0833,2.0833,0.0878,0.0017,5.665,118.0,60.0,"[7.368847, 7.493206, 7.440074, 7.467157]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",122.0124,2.0124,0.0457,0.0016,5.5811,102.0,60.0,"[7.502816, 7.479709, 7.464928, 7.526744]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",122.183,2.183,0.0652,0.0017,5.7267,101.0,60.0,"[7.388106, 7.489134, 7.421271, 7.431833]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",122.2959,2.2959,0.0883,0.0018,5.8495,101.0,60.0,"[7.660217, 7.687096, 7.578234, 7.613725]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",121.881,1.881,0.0488,0.0015,5.3647,100.0,60.0,"[7.451861, 7.462913, 7.45123, 7.424232]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",122.0363,2.0363,0.0652,0.0015,5.3913,101.0,60.0,"[7.488504, 7.605695, 7.514118, 7.470154]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",122.0267,2.0267,0.0878,0.0016,5.4182,100.0,60.0,"[7.486395, 7.496586, 7.55333, 7.468762]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",121.934,1.934,0.0466,0.0016,5.4164,102.0,60.0,"[7.448806, 7.509829, 7.539865, 7.562207]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",120.0471,2.0471,0.0646,0.0016,5.4711,102.0,59.0,"[7.514583, 7.562402, 7.500063, 7.460504]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",122.6317,2.6317,0.0871,0.0016,5.5234,123.0,60.0,"[7.504758, 7.479132, 7.454529, 7.519364]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",124.0443,2.0443,0.046,0.0016,5.4718,105.0,61.0,"[7.444692, 7.423258, 7.479963, 7.526122]"
