Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",128.7822,10.7822,5.761,19.3077,9.8904,119.0,59.0,"[36.55682, 36.96187, 36.7549, 37.11126]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",132.064,12.064,10.2356,22.3767,9.7363,121.0,60.0,"[28.93383, 29.01833, 28.90415, 28.96936]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",132.7517,12.7517,17.164,24.4305,9.7244,123.0,60.0,"[25.07455, 24.94277, 24.7571, 24.70917]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",137.8238,11.8238,7.8089,25.4047,9.7156,131.0,63.0,"[23.72498, 23.96872, 24.15436, 23.73497]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",139.6818,11.6818,12.632,31.5012,9.8317,136.0,64.0,"[20.1497, 20.05485, 19.84051, 20.19045]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",141.748,11.748,22.5835,32.9767,9.7529,141.0,65.0,"[18.03369, 18.26485, 17.88866, 18.05085]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",141.2447,11.2447,8.1003,31.221,9.8304,145.0,65.0,"[19.99649, 20.07948, 20.22268, 19.98263]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",138.845,10.845,13.7986,33.2606,9.7167,151.0,64.0,"[17.66514, 17.91064, 17.38555, 17.2997]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",139.3684,9.3684,23.0345,38.3877,9.7839,157.0,65.0,"[15.27268, 15.95073, 15.20366, 15.50785]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",134.8093,10.8093,5.7599,19.2248,9.8909,120.0,62.0,"[36.70159, 37.07032, 36.88369, 37.37202]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",134.0972,12.0972,10.2494,22.4131,9.7372,121.0,61.0,"[28.68383, 29.38424, 29.09049, 28.48978]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",132.8777,12.8777,17.0563,24.29,9.7255,123.0,60.0,"[24.84956, 25.5181, 24.62581, 25.07707]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",137.8354,11.8354,7.8186,25.3362,9.7159,131.0,63.0,"[24.0494, 24.29028, 23.80974, 23.69435]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",139.8597,11.8597,12.6356,31.4936,9.8315,136.0,64.0,"[19.98832, 20.19187, 19.94439, 20.12874]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",139.6969,11.6969,22.5293,33.0376,9.7534,141.0,64.0,"[17.90945, 18.30124, 18.08822, 17.80931]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",139.2589,11.2589,8.0396,31.0412,9.8303,145.0,64.0,"[20.07903, 20.32471, 20.04291, 20.28751]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",140.7143,10.7143,13.982,33.8136,9.7171,151.0,65.0,"[17.14199, 17.41597, 17.20579, 17.35092]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",141.2359,9.2359,23.0099,38.686,9.7839,158.0,66.0,"[15.1537, 15.76685, 15.23367, 15.30314]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",130.0178,6.0178,6.472,21.5696,4.4982,120.0,62.0,"[47.52048, 48.87796, 49.1089, 47.74548]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",129.4246,7.4246,14.2522,26.6605,5.2553,123.0,61.0,"[36.47654, 37.0159, 36.94456, 36.74626]"
