Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",128.78221915039148,10.782219150391477,5.761035652497519,19.307665822938848,9.890414244995577,119.0,59.0,"[36.55682, 36.96187, 36.7549, 37.11126]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",132.06403529360722,12.064035293607203,10.235584331107237,22.376658578465037,9.736304802652652,121.0,60.0,"[28.93383, 29.01833, 28.90415, 28.96936]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",132.75168883026708,12.751688830267105,17.164008444809834,24.430528204460643,9.724375476522173,123.0,60.0,"[25.07455, 24.94277, 24.7571, 24.70917]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",137.82383427500338,11.82383427500339,7.808872525760921,25.40466661778765,9.715646560394426,131.0,63.0,"[23.72498, 23.96872, 24.15436, 23.73497]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",139.681760116855,11.681760116854985,12.6320144293219,31.50124054843037,9.831741830401397,136.0,64.0,"[20.1497, 20.05485, 19.84051, 20.19045]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",141.74797977835502,11.747979778355022,22.583506650027466,32.976693802171816,9.752905615291052,141.0,65.0,"[18.03369, 18.26485, 17.88866, 18.05085]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",141.2446959492561,11.24469594925611,8.100288805360368,31.220984129899225,9.830440135147983,145.0,65.0,"[19.99649, 20.07948, 20.22268, 19.98263]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",138.844998344324,10.844998344324008,13.798560127000863,33.26055744727914,9.716730816275273,151.0,64.0,"[17.66514, 17.91064, 17.38555, 17.2997]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",139.368389109989,9.368389109989016,23.034464816940286,38.38773677828239,9.783927724901012,157.0,65.0,"[15.27268, 15.95073, 15.20366, 15.50785]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",134.80928559292104,10.809285592921038,5.7598830747937155,19.22480051765993,9.890918890590703,120.0,62.0,"[36.70159, 37.07032, 36.88369, 37.37202]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",134.09719847918072,12.097198479180726,10.249395416760905,22.413136179870843,9.737247319027343,121.0,61.0,"[28.68383, 29.38424, 29.09049, 28.48978]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",132.87769882770243,12.877698827702439,17.05630538074438,24.29004893132394,9.725505842598967,123.0,60.0,"[24.84956, 25.5181, 24.62581, 25.07707]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",137.835449603703,11.835449603703,7.818559240063216,25.336165431514374,9.715884471970464,131.0,63.0,"[24.0494, 24.29028, 23.80974, 23.69435]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",139.8597355043015,11.859735504301497,12.63560934301542,31.49360636808545,9.831546130613429,136.0,64.0,"[19.98832, 20.19187, 19.94439, 20.12874]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",139.69686014638944,11.696860146389445,22.529310911405048,33.03764241558045,9.753377484155262,141.0,64.0,"[17.90945, 18.30124, 18.08822, 17.80931]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",139.25889303080146,11.25889303080146,8.039616880685776,31.041223212925,9.830324758596614,145.0,64.0,"[20.07903, 20.32471, 20.04291, 20.28751]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",140.71429276900687,10.714292769006892,13.982000894918283,33.81361158324323,9.717074759674325,151.0,65.0,"[17.14199, 17.41597, 17.20579, 17.35092]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",141.23589619141802,9.235896191418004,23.009861636491006,38.68602090971625,9.783924903571021,158.0,66.0,"[15.1537, 15.76685, 15.23367, 15.30314]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",130.01778352934645,6.017783529346431,6.4719846142270825,21.56959287693698,4.4981514876717315,120.0,62.0,"[47.52048, 48.87796, 49.1089, 47.74548]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",129.42461712753246,7.424617127532454,14.25224413069764,26.66053767133626,5.255258618365165,123.0,61.0,"[36.47654, 37.0159, 36.94456, 36.74626]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",131.2781897520851,9.278189752085087,30.198435254449155,31.04561674224772,6.5027772206247745,125.0,61.0,"[29.59972, 29.87313, 28.87271, 29.3433]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",135.9064092562674,7.906409256267402,10.143490620943776,33.49579039676295,6.407116330257879,134.0,64.0,"[26.79515, 26.94528, 27.04145, 26.69354]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",139.04383225971395,9.043832259713962,22.34285333916856,39.750159257037986,7.056269577502825,139.0,65.0,"[22.34916, 22.46168, 21.96369, 22.06555]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",141.62089065608654,9.620890656086548,45.31402694085261,43.71810445953412,7.468901203008519,145.0,66.0,"[20.12969, 19.93568, 20.08556, 19.76369]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",138.4874003182588,8.487400318258803,11.132460769897342,39.68728598694028,6.987691501520993,149.0,65.0,"[21.89901, 21.91274, 21.88366, 21.74117]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",140.99095161495302,8.990951614953019,26.36068097966055,45.22043954797948,7.81983294976777,154.0,66.0,"[18.91915, 19.14523, 18.63014, 18.72506]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",142.87629619518785,8.876296195187848,54.33009961382525,51.08397077572413,8.927843831067173,161.0,67.0,"[16.40634, 16.80159, 16.32106, 16.36869]"
