Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",126.7904,10.7904,5.8166,19.3087,9.8919,118.0,58.0,"[36.9594, 36.46225, 37.00519, 36.97269]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",132.0982,12.0982,10.3176,22.3709,9.7389,122.0,60.0,"[28.90925, 29.06035, 28.75266, 29.16492]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",133.0577,13.0577,17.3563,24.3419,9.728,124.0,60.0,"[25.00322, 25.08025, 24.9359, 24.86371]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",137.8662,11.8662,7.9374,25.5489,9.7177,133.0,63.0,"[23.87356, 23.65387, 23.67506, 23.86082]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",141.8301,11.8301,12.7977,31.5952,9.8352,138.0,65.0,"[19.88125, 20.11854, 19.99981, 20.02565]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",143.7344,11.7344,22.8335,33.0986,9.7561,143.0,66.0,"[17.92217, 18.15742, 18.10632, 17.80962]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",143.31,11.31,8.102,31.1053,9.8329,147.0,66.0,"[20.23475, 20.05852, 20.12421, 20.183]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",144.8269,10.8269,14.045,33.6282,9.7199,153.0,67.0,"[17.218, 17.28347, 17.55285, 17.46661]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",145.3417,9.3417,22.9641,38.1743,9.7878,159.0,68.0,"[15.348, 16.18309, 15.49095, 15.28386]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",138.8369,10.8369,5.8335,19.4379,9.892,121.0,64.0,"[36.89512, 36.74335, 36.34121, 36.44151]"
