Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",114.8565,2.8565,0.6839,32.1532,10.3297,117.0,56.0,"[11.61385, 11.54799, 13.12979, 13.45431]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",121.6525,3.6525,1.7565,42.4673,10.3299,120.0,59.0,"[9.123774, 10.31621, 9.138057, 9.086502]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",124.1429,4.1429,3.0498,39.9247,10.3299,119.0,60.0,"[10.12119, 9.931742, 10.02696, 9.98342]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",129.1823,3.1823,0.9926,49.9086,10.3297,131.0,63.0,"[7.286534, 8.099154, 8.29768, 8.364925]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",131.9384,3.9384,1.9644,47.5198,10.3297,133.0,64.0,"[8.212081, 8.901508, 8.487492, 8.058349]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",136.4493,4.4493,3.8131,45.5498,10.3297,135.0,66.0,"[8.741625, 8.749329, 8.873068, 8.751153]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",137.3185,3.3185,1.0286,60.2843,10.3296,147.0,67.0,"[6.083954, 6.83986, 6.786362, 6.822052]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",136.0891,4.0891,1.9316,54.2984,10.3298,149.0,66.0,"[7.325592, 7.431649, 7.344515, 7.355224]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",138.6244,4.6244,4.2949,52.7843,10.3296,154.0,67.0,"[7.464295, 7.79724, 7.617568, 7.423085]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",133.025,3.025,0.6997,31.3996,10.3297,119.0,65.0,"[12.82526, 12.69971, 12.73008, 12.68487]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",127.5409,3.5409,1.6411,40.3288,10.3299,119.0,62.0,"[10.161, 9.086971, 10.24901, 10.1649]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",126.3794,4.3794,2.7043,36.9012,10.33,120.0,61.0,"[10.7919, 10.81057, 10.89261, 10.8513]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",133.225,3.225,1.1252,51.0213,10.3297,130.0,65.0,"[7.180755, 7.829883, 8.270397, 8.068465]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",134.2119,4.2119,1.7152,41.7502,10.3299,133.0,65.0,"[9.074459, 9.078636, 9.915739, 10.24276]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",132.8231,4.8231,2.8775,37.0816,10.33,134.0,64.0,"[10.7588, 10.80947, 10.79185, 10.77543]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",133.5521,3.5521,1.1618,52.1687,10.3297,145.0,65.0,"[8.26171, 7.178927, 7.388732, 7.830663]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",136.5444,4.5444,1.7913,41.9831,10.33,147.0,66.0,"[9.12062, 9.681762, 9.07627, 10.22031]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",139.0111,5.0111,3.1544,36.3495,10.33,151.0,67.0,"[10.90017, 10.99165, 11.11257, 11.00009]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",128.7994,2.7994,0.5454,36.3298,10.5652,120.0,63.0,"[15.22046, 14.06674, 13.74368, 15.72621]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",127.35,3.35,1.371,48.3372,10.5653,120.0,62.0,"[10.60181, 10.65489, 12.31525, 10.58939]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",125.9891,3.9891,2.4917,45.8836,10.5653,120.0,61.0,"[11.43511, 11.92757, 11.71527, 11.44494]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",130.9483,2.9483,0.8517,59.5613,10.5652,133.0,64.0,"[9.528716, 8.471025, 9.341781, 8.49773]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",133.7111,3.7111,1.7866,57.1818,10.5652,136.0,65.0,"[9.384129, 9.338299, 9.245351, 9.362844]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",134.3191,4.3191,3.4808,52.2349,10.5652,136.0,65.0,"[10.12077, 10.41548, 10.15249, 10.17733]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",135.2282,3.2282,0.8797,67.9442,10.5652,146.0,66.0,"[7.807151, 7.782907, 7.813984, 8.013381]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",138.0094,4.0094,1.7808,61.2873,10.5653,151.0,67.0,"[8.606766, 8.894188, 8.491858, 8.836977]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",140.537,4.537,4.23,59.9317,10.5652,154.0,68.0,"[8.593681, 9.089396, 8.929174, 9.005537]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",133.0278,3.0278,0.539,34.4867,10.5652,120.0,65.0,"[15.01804, 16.86222, 15.01653, 15.00037]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",127.5233,3.5233,1.2063,47.1888,10.5653,120.0,62.0,"[12.11628, 11.72259, 10.77253, 10.62464]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",126.1972,4.1972,1.8341,41.8265,10.5653,119.0,61.0,"[12.68254, 12.73908, 12.80881, 12.80507]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",131.1488,3.1488,0.858,55.3247,10.5652,132.0,64.0,"[9.756801, 9.547163, 9.773181, 9.506583]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",132.0571,4.0571,1.2818,47.5365,10.5653,133.0,64.0,"[10.65126, 10.7382, 11.68236, 11.83339]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",136.7676,4.7676,1.9388,41.5801,10.5653,135.0,66.0,"[12.78817, 12.98295, 12.77055, 12.79628]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",135.5317,3.5317,0.9294,59.1263,10.5652,144.0,66.0,"[8.459906, 9.503574, 8.445342, 9.694064]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",138.4405,4.4405,1.2697,45.7916,10.5654,147.0,67.0,"[11.89085, 12.02019, 12.00282, 10.70225]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",140.962,4.962,2.301,41.4069,10.5653,150.0,68.0,"[12.86626, 12.86074, 12.85456, 12.97124]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",134.8877,2.8877,0.618,31.8073,10.3297,119.0,66.0,"[11.63104, 11.88652, 13.64388, 13.12542]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",129.5927,3.5927,1.5194,42.8681,10.3297,121.0,63.0,"[9.041914, 10.02581, 9.160415, 9.083646]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",128.1558,4.1558,2.7359,40.0316,10.3297,120.0,62.0,"[10.00347, 9.885988, 10.01081, 10.05536]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",131.0638,3.0638,0.9718,52.8696,10.3297,132.0,64.0,"[7.361965, 7.180583, 8.03911, 7.67179]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",133.8486,3.8486,1.8965,47.2324,10.3297,134.0,65.0,"[8.909203, 8.009144, 8.879797, 8.066068]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",136.4573,4.4573,3.6694,45.3518,10.3297,136.0,66.0,"[8.92235, 8.878511, 8.815399, 8.652283]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",137.32,3.32,0.9975,59.9228,10.3297,147.0,67.0,"[6.771395, 6.739126, 6.40476, 6.777173]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",140.0972,4.0972,1.929,54.1245,10.3298,149.0,68.0,"[7.209505, 7.414785, 7.422694, 7.50484]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",142.602,4.602,4.2852,52.0455,10.3297,154.0,69.0,"[7.574516, 7.605358, 8.023336, 7.529426]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",135.0462,3.0462,0.6024,29.8847,10.3297,119.0,66.0,"[12.96524, 12.83179, 14.75659, 12.96838]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",127.5709,3.5709,1.3429,40.1596,10.3297,121.0,62.0,"[10.49112, 9.399483, 9.628734, 10.30882]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",130.3835,4.3835,2.2734,36.7575,10.3297,120.0,63.0,"[10.90598, 10.84692, 10.87374, 10.88776]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",133.2822,3.2822,0.9697,50.444,10.3297,132.0,65.0,"[8.051333, 8.179995, 7.22138, 8.255454]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",132.2094,4.2094,1.4881,42.9047,10.3297,133.0,64.0,"[9.823912, 9.158953, 9.155331, 9.141729]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",134.8247,4.8247,2.3642,36.8645,10.3297,134.0,65.0,"[10.74587, 11.08385, 10.7995, 10.7589]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",137.6564,3.6564,0.9936,50.0569,10.3297,147.0,67.0,"[8.319328, 8.054463, 7.431004, 8.148574]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",138.5628,4.5628,1.3944,38.7487,10.3298,149.0,67.0,"[10.45809, 10.24169, 10.39483, 10.18357]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",141.0117,5.0117,2.4947,36.2621,10.3297,151.0,68.0,"[11.09321, 11.0005, 11.07629, 10.93908]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",131.013,3.013,0.6347,33.135,10.3321,117.0,64.0,"[11.69642, 13.064, 11.61156, 11.84831]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",129.6418,3.6418,1.4929,41.0932,10.3321,120.0,63.0,"[10.43014, 10.10676, 9.145557, 9.199304]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",128.186,4.186,2.8081,40.083,10.3321,121.0,62.0,"[9.705944, 9.968476, 10.20713, 9.98014]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",131.193,3.193,0.9498,50.4996,10.3321,132.0,64.0,"[7.861668, 8.012103, 8.280351, 7.485282]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",135.8714,3.8714,1.9109,47.0119,10.3321,135.0,66.0,"[8.147993, 8.07776, 8.816328, 8.944614]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",136.4696,4.4696,3.6623,46.0213,10.3321,136.0,66.0,"[8.774888, 8.639581, 8.61125, 8.692533]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",137.3249,3.3249,0.9975,58.5838,10.3321,147.0,67.0,"[6.804882, 6.732194, 6.781695, 6.954565]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",140.101,4.101,1.9301,54.4397,10.3322,151.0,68.0,"[7.401032, 7.392027, 7.148943, 7.407352]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",140.6032,4.6032,4.2831,53.1313,10.3321,154.0,68.0,"[7.530678, 7.482922, 7.375454, 7.68331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'balanced']",135.0509,3.0509,0.6214,29.8436,10.3321,119.0,66.0,"[12.93698, 12.92517, 14.80373, 12.87242]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'balanced']",129.7206,3.7206,1.4184,40.2969,10.3321,120.0,63.0,"[9.271805, 10.35517, 10.15841, 9.864598]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'balanced']",128.4123,4.4123,2.3434,36.8324,10.3321,120.0,62.0,"[10.85726, 10.86541, 10.83785, 10.81897]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'balanced']",133.2821,3.2821,0.9981,49.1972,10.3321,132.0,65.0,"[8.076287, 8.036169, 8.074654, 8.289895]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'balanced']",136.2774,4.2774,1.4519,40.6482,10.3321,134.0,66.0,"[10.09314, 9.542435, 10.1799, 9.491966]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'balanced']",136.8295,4.8295,2.4294,36.4119,10.3321,135.0,66.0,"[10.93308, 11.00967, 11.00871, 10.92902]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'balanced']",137.6621,3.6621,1.0851,52.7038,10.3321,144.0,67.0,"[7.450814, 8.061584, 7.354548, 7.449251]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'balanced']",140.5862,4.5862,1.4993,40.7872,10.3322,147.0,68.0,"[9.784414, 10.22198, 10.10454, 9.062359]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'balanced']",141.026,5.026,2.6096,36.343,10.3321,153.0,68.0,"[10.89895, 11.09276, 10.97653, 10.99555]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",132.9262,2.9262,0.6086,32.6508,10.3297,120.0,65.0,"[13.34227, 12.09482, 11.92651, 11.62413]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",129.4942,3.4942,1.5119,42.7839,10.3297,122.0,63.0,"[9.179729, 9.112783, 9.20186, 9.890831]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",128.1529,4.1529,2.7668,39.7031,10.3297,119.0,62.0,"[10.07258, 9.954565, 10.23304, 10.026]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",131.1887,3.1887,0.9246,50.2173,10.3297,132.0,64.0,"[8.088042, 8.115764, 8.136989, 7.510532]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",135.9422,3.9422,1.8915,48.5166,10.3297,134.0,66.0,"[8.067238, 8.930065, 7.97344, 7.997137]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",138.4794,4.4794,3.6546,45.0998,10.3297,135.0,67.0,"[8.841433, 8.849206, 8.835168, 8.939746]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",139.3192,3.3192,0.9723,57.4331,10.3297,147.0,68.0,"[7.031789, 6.77821, 7.047388, 6.992151]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",140.1088,4.1088,1.9185,54.1105,10.3298,149.0,68.0,"[7.627282, 7.552734, 7.472422, 6.907073]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '4', 'scatter']",142.5906,4.5906,4.3869,54.0295,10.3297,153.0,69.0,"[7.438343, 7.396859, 7.37332, 7.395549]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'balanced']",135.0517,3.0517,0.5765,29.8688,10.3297,119.0,66.0,"[12.87039, 13.24423, 12.8955, 14.54033]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'balanced']",127.5397,3.5397,1.4317,42.7144,10.3297,121.0,62.0,"[9.155294, 9.133516, 9.557535, 9.599649]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'balanced']",128.3896,4.3896,2.2902,36.8495,10.3297,119.0,62.0,"[10.77485, 10.9001, 10.88543, 10.84541]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'balanced']",131.2568,3.2568,0.9694,50.4567,10.3297,132.0,64.0,"[8.19124, 8.101782, 7.24857, 8.158617]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'balanced']",134.2963,4.2963,1.3926,40.2316,10.3297,133.0,65.0,"[9.182638, 10.25745, 9.984675, 10.33216]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'balanced']",134.8268,4.8268,2.505,36.7503,10.3297,133.0,65.0,"[11.08261, 10.89298, 10.71766, 10.8297]"
