Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",114.8764,2.8764,0.6397,34.2893,10.3296,115.0,56.0,"[12.02037, 11.39344, 11.63657, 11.59614]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",121.5935,3.5935,1.5113,42.3857,10.3297,120.0,59.0,"[9.180419, 9.753954, 9.047829, 9.75409]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",124.1929,4.1929,2.7596,40.1124,10.3296,121.0,60.0,"[9.96537, 9.913583, 9.991272, 10.00472]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",129.1409,3.1409,0.9543,52.0658,10.3296,133.0,63.0,"[7.422696, 7.655461, 7.783882, 7.858251]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",133.8843,3.8843,1.9052,49.4901,10.3296,134.0,65.0,"[8.017302, 8.033733, 8.208417, 8.059673]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",134.4825,4.4825,3.6759,45.2825,10.3296,135.0,65.0,"[8.851198, 8.912178, 8.830165, 8.728692]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",137.2842,3.2842,1.0285,61.8702,10.3296,147.0,67.0,"[6.551831, 6.514405, 6.593275, 6.192634]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",138.0613,4.0613,1.9912,55.8303,10.3298,151.0,67.0,"[7.13548, 7.201712, 7.136781, 7.174786]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",142.618,4.618,4.3327,53.5624,10.3296,155.0,69.0,"[7.350239, 7.361103, 7.366696, 7.783956]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",135.0413,3.0413,0.6071,30.0659,10.3296,119.0,66.0,"[12.88101, 12.70411, 12.8803, 14.7335]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",129.5595,3.5595,1.4769,43.4103,10.3297,119.0,63.0,"[9.098362, 9.118305, 9.56874, 9.060145]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",130.409,4.409,2.2719,37.0265,10.3296,119.0,63.0,"[10.74918, 10.84912, 10.79393, 10.80602]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",131.2752,3.2752,1.0098,50.7219,10.3296,131.0,64.0,"[8.214359, 8.01485, 8.065591, 7.239438]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",136.2277,4.2277,1.4406,41.1334,10.3296,133.0,66.0,"[10.16969, 9.108399, 10.13282, 9.474232]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",138.8486,4.8486,2.5694,36.6499,10.3296,136.0,67.0,"[10.98032, 10.92457, 10.78768, 10.94955]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",137.6635,3.6635,1.021,49.9889,10.3296,147.0,67.0,"[8.027566, 7.988647, 8.510929, 7.469475]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",142.5759,4.5759,1.5,42.0771,10.3298,147.0,69.0,"[9.268995, 10.15861, 9.310204, 9.275092]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",143.0099,5.0099,2.6484,36.4398,10.3297,150.0,69.0,"[11.03888, 10.94473, 10.9941, 10.91622]"
