Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",113.1161,3.1161,0.651,9.7263,6.2844,120.0,55.0,"[9.179422, 8.876233, 9.012185, 9.256664]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",119.7984,3.7984,0.7935,10.0177,6.2844,121.0,58.0,"[8.770816, 8.959753, 8.8088, 8.728986]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",120.1909,4.1909,1.6795,10.3007,6.2845,124.0,58.0,"[8.579579, 8.643346, 8.567818, 8.509355]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",122.9958,2.9958,0.5414,10.897,6.2845,134.0,60.0,"[8.083019, 8.131601, 8.071621, 8.136752]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",125.5804,3.5804,0.758,10.9332,6.2845,141.0,61.0,"[8.095849, 8.258649, 8.013978, 7.948165]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",124.1783,4.1783,1.7386,11.1161,6.2846,146.0,60.0,"[7.962873, 8.092141, 7.896882, 7.834099]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",127.0024,3.0024,0.5756,11.072,6.2845,153.0,62.0,"[7.845644, 7.832423, 7.933878, 8.017711]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",125.5805,3.5805,0.7476,11.0708,6.2846,156.0,61.0,"[7.886942, 7.898419, 7.916708, 8.023808]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",126.2336,4.2336,1.8076,11.2456,6.2847,168.0,61.0,"[7.955292, 7.819623, 7.842802, 7.804217]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",121.1273,3.1273,0.6255,9.602,6.2844,121.0,59.0,"[9.240944, 9.043353, 9.168618, 9.341679]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",121.6558,3.6558,0.8137,10.2414,6.2844,123.0,59.0,"[8.691881, 8.589476, 8.513386, 8.703381]"
