Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",115.843,3.843,0.1764,0.1978,1.0253,112.0,56.0,"[13.11656, 13.14811, 12.96038, 13.2018]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",118.4354,4.4354,0.2251,0.194,1.0253,113.0,57.0,"[13.3232, 13.30632, 13.4585, 13.36618]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",120.7885,4.7885,0.3474,0.1906,1.0253,116.0,58.0,"[13.63671, 13.66467, 13.50712, 13.60719]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",122.2697,4.2697,0.1822,0.1978,1.0253,123.0,59.0,"[13.08404, 13.15223, 13.08572, 13.12901]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",122.8075,4.8075,0.2404,0.1936,1.0254,126.0,59.0,"[13.37523, 13.40413, 13.4075, 13.40175]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",125.0777,5.0777,0.4037,0.1908,1.0254,129.0,60.0,"[13.5564, 13.71593, 13.51341, 13.58212]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",124.4463,4.4463,0.1858,0.1971,1.0254,134.0,60.0,"[13.15013, 13.05681, 13.08278, 13.35285]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",126.9583,4.9583,0.2612,0.1925,1.0255,139.0,61.0,"[13.40389, 13.47892, 13.3489, 13.64997]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",127.2598,5.2598,0.4757,0.1873,1.0256,144.0,61.0,"[13.76079, 13.81712, 13.91619, 13.90875]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",119.9469,3.9469,0.1766,0.1945,1.0252,112.0,58.0,"[13.43341, 13.29846, 13.32325, 13.25897]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",120.559,4.559,0.2105,0.1878,1.0252,113.0,58.0,"[13.73245, 13.91356, 13.70266, 13.87276]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",120.911,4.911,0.3201,0.1789,1.0252,116.0,58.0,"[14.43213, 14.59595, 14.44269, 14.51212]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",120.3431,4.3431,0.1797,0.1919,1.0252,123.0,58.0,"[13.84329, 13.65988, 13.28336, 13.25204]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",124.8898,4.8898,0.2204,0.1862,1.0252,126.0,60.0,"[13.94266, 13.96896, 13.88622, 13.90258]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",125.1552,5.1552,0.3885,0.1779,1.0252,129.0,60.0,"[14.52255, 14.60215, 14.56861, 14.59517]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",126.5575,4.5575,0.1765,0.1897,1.0252,133.0,61.0,"[13.73787, 13.67833, 13.42305, 13.83902]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",127.0327,5.0327,0.2472,0.1852,1.0255,139.0,61.0,"[13.88252, 14.16216, 14.03064, 13.93879]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",131.2377,5.2377,0.4195,0.1769,1.0256,144.0,63.0,"[14.78042, 14.58307, 14.52776, 14.74872]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",123.7718,3.7718,0.1797,0.1993,1.0253,113.0,60.0,"[12.90158, 13.17893, 12.8757, 13.09422]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",122.5006,4.5006,0.2374,0.1926,1.0253,114.0,59.0,"[13.30871, 13.73688, 13.54155, 13.25901]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",122.7789,4.7789,0.3519,0.1903,1.0253,116.0,59.0,"[13.65939, 13.68081, 13.66375, 13.5102]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",124.2707,4.2707,0.1838,0.1973,1.0253,123.0,60.0,"[13.24808, 13.0884, 13.10329, 13.13616]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",124.8093,4.8093,0.2478,0.193,1.0254,128.0,60.0,"[13.61933, 13.33439, 13.30121, 13.49448]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",127.0737,5.0737,0.4109,0.1903,1.0254,129.0,61.0,"[13.55667, 13.64549, 13.61076, 13.71128]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",126.4698,4.4698,0.1882,0.198,1.0254,134.0,61.0,"[13.07273, 13.12598, 13.06131, 13.1417]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",128.9593,4.9593,0.27,0.1916,1.0255,139.0,62.0,"[13.41934, 13.46718, 13.52077, 13.72929]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",129.2659,5.2659,0.4788,0.1885,1.0256,145.0,62.0,"[13.75994, 13.73968, 13.81815, 13.71577]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",123.9922,3.9922,0.1768,0.1922,1.0252,113.0,60.0,"[13.3664, 13.50746, 13.78474, 13.30825]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",122.543,4.543,0.2089,0.1865,1.0252,114.0,59.0,"[13.90781, 14.06258, 13.84299, 13.79876]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",124.9094,4.9094,0.3071,0.1784,1.0252,115.0,60.0,"[14.57505, 14.59027, 14.4036, 14.56981]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",124.3825,4.3825,0.1745,0.1919,1.0252,123.0,60.0,"[13.29486, 13.64607, 13.32649, 13.76972]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",126.8908,4.8908,0.2287,0.1863,1.0252,128.0,61.0,"[13.90329, 13.94246, 14.05296, 13.75809]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",129.1455,5.1455,0.3494,0.1777,1.0252,129.0,62.0,"[14.5393, 14.6013, 14.65342, 14.58645]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",128.506,4.506,0.1841,0.1943,1.0252,133.0,62.0,"[13.39441, 13.35487, 13.33986, 13.29993]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",129.0291,5.0291,0.2517,0.1847,1.0255,139.0,62.0,"[13.99099, 14.1173, 13.85978, 14.19138]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",133.2549,5.2549,0.3826,0.1763,1.0256,144.0,64.0,"[14.96577, 14.69217, 14.57853, 14.63048]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",125.8555,3.8555,0.1775,0.1973,1.0253,113.0,61.0,"[13.1699, 13.25596, 13.09211, 13.05841]"
