Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",119.2787,5.2787,0.2082,3.4229,11.0078,112.0,57.0,"[13.51036, 13.50498, 14.35814, 13.44288]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",120.7549,4.7549,0.3191,3.6304,11.0054,116.0,58.0,"[12.46523, 12.55284, 13.38919, 13.31544]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",127.5154,9.5154,0.415,3.4207,11.0054,114.0,59.0,"[14.15926, 13.99164, 13.25756, 13.46408]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",125.5765,5.5765,0.2404,3.8489,11.0054,126.0,60.0,"[12.3633, 12.23099, 12.03914, 12.13502]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",134.7137,14.7137,0.3377,3.571,11.0025,123.0,60.0,"[12.87074, 13.54587, 13.47235, 12.70582]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",141.3923,17.3923,0.4415,3.4633,11.0015,124.0,62.0,"[12.99507, 13.43314, 13.52618, 14.26032]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",126.1484,4.1484,0.2459,3.9368,11.0013,141.0,61.0,"[11.63523, 11.64299, 11.52477, 12.48351]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",131.8412,9.8412,0.3425,3.6994,10.9994,139.0,61.0,"[12.80758, 12.49483, 12.20632, 12.96106]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",124.4359,4.4359,0.4896,3.9711,10.9978,152.0,60.0,"[11.42518, 12.42992, 11.26753, 12.17393]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",124.0817,4.0817,0.1621,3.531,11.0078,114.0,60.0,"[13.78162, 13.73767, 12.84714, 12.77204]"
