Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",110.9869,2.9869,0.1919,36.6283,5.3542,121.0,54.0,"[3.782069, 3.582984, 4.082233, 3.680379]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",118.1241,4.1241,0.6249,37.4437,5.3547,123.0,57.0,"[3.809792, 3.793955, 3.618134, 3.577661]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",120.9964,4.9964,1.6976,40.4902,5.3549,124.0,58.0,"[3.437214, 3.424433, 3.438378, 3.386421]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",123.1411,3.1411,0.2384,52.0864,5.3542,146.0,60.0,"[2.786396, 2.788847, 2.536659, 2.526253]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",128.0814,4.0814,0.8684,54.4731,5.3547,149.0,62.0,"[2.564765, 2.548538, 2.503123, 2.556455]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",127.0124,5.0124,2.5165,59.3635,5.3548,151.0,61.0,"[2.378636, 2.317443, 2.290886, 2.348035]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",125.0416,3.0416,0.2891,61.1094,5.3543,169.0,61.0,"[2.322162, 2.137161, 2.151736, 2.384202]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",128.1034,4.1034,1.0627,65.2807,5.3548,174.0,62.0,"[2.09393, 2.139511, 2.133401, 2.068782]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",131.0408,5.0408,2.8048,65.5997,5.3548,176.0,63.0,"[2.143041, 2.083375, 2.089009, 2.132241]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",122.9712,2.9712,0.1983,37.0852,5.3542,123.0,60.0,"[3.765415, 3.590225, 4.004598, 3.581019]"
