Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",125.7387,5.7387,9.8248,32.5255,13.8062,123.0,60.0,"[13.575, 13.50062, 13.50311, 13.28286]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",130.0206,6.0206,19.9865,44.9047,13.8061,127.0,62.0,"[9.785575, 9.750704, 9.767879, 9.709453]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",130.407,6.407,44.8378,55.7297,13.8063,130.0,62.0,"[7.884521, 7.869647, 7.863677, 7.818601]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",135.5452,5.5452,18.8617,62.4346,13.8059,142.0,65.0,"[6.989269, 7.038218, 7.02432, 7.008063]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",137.8981,5.8981,38.2345,85.0859,13.8058,150.0,66.0,"[5.105757, 5.352799, 5.06177, 5.069858]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",140.3607,6.3607,79.2038,97.4999,13.8059,156.0,67.0,"[4.475941, 4.533876, 4.454057, 4.505461]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",139.5796,5.5796,25.7476,85.0662,13.8059,160.0,67.0,"[5.104483, 5.062537, 5.128638, 5.124694]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",142.0094,6.0094,51.5852,114.2144,13.8061,171.0,68.0,"[3.783446, 3.81055, 3.836723, 3.821522]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",144.4495,6.4495,102.2176,126.5454,13.8056,180.0,69.0,"[3.424741, 3.595598, 3.456659, 3.368312]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",137.6953,5.6953,9.7623,32.4962,13.8062,124.0,66.0,"[13.5207, 13.47185, 13.34413, 13.57356]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",134.005,6.005,19.9647,44.8078,13.8061,129.0,64.0,"[9.781421, 9.756324, 9.789755, 9.770486]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",134.4102,6.4102,44.3973,55.0119,13.8063,131.0,64.0,"[7.863444, 8.068876, 8.023466, 7.890847]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",137.5328,5.5328,18.8636,62.5832,13.8059,143.0,66.0,"[7.019395, 7.00735, 6.959767, 7.006712]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",141.9025,5.9025,38.278,84.9426,13.8058,150.0,68.0,"[5.08549, 5.268116, 5.148277, 5.123018]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",144.3658,6.3658,79.476,97.6852,13.8059,157.0,69.0,"[4.494954, 4.465573, 4.459664, 4.515045]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",141.5742,5.5742,26.9488,89.1344,13.8048,160.0,68.0,"[4.862403, 4.839761, 4.872377, 4.917755]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",146.0359,6.0359,51.4313,113.6474,13.8043,170.0,70.0,"[3.84548, 3.825515, 3.82521, 3.833013]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",146.459,6.459,103.2721,127.5958,13.8056,180.0,70.0,"[3.456894, 3.41829, 3.423152, 3.433]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",145.7514,13.7514,11.0272,21.8624,12.5518,124.0,66.0,"[11.84046, 11.86868, 11.85984, 11.88357]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",142.1691,14.1691,21.7128,30.6473,12.5564,128.0,64.0,"[8.43967, 8.522581, 8.469056, 8.432542]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",142.8562,14.8562,47.3762,38.1692,12.5846,131.0,64.0,"[6.828651, 6.854017, 6.801404, 6.768045]"
