Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",115.1031,3.1031,0.0743,0.94,3.4513,102.0,56.0,"[8.093152, 7.593868, 7.918226, 7.904486]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",117.3896,3.3896,0.0961,0.9501,3.4513,104.0,57.0,"[7.911076, 7.951708, 7.719078, 7.593508]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",121.4562,3.4562,0.119,0.959,3.4514,105.0,59.0,"[7.803307, 7.75781, 7.776179, 7.550249]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",121.3128,3.3128,0.0772,0.9351,3.4512,105.0,59.0,"[8.016315, 7.839774, 7.776128, 8.043463]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",119.759,3.759,0.0849,0.7611,3.4513,113.0,58.0,"[9.166684, 10.16112, 9.614387, 9.979076]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",122.5394,4.5394,0.1349,0.8444,3.4514,122.0,59.0,"[8.811592, 8.425903, 8.87142, 8.975272]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",121.5387,3.5387,0.0505,0.6255,3.4511,117.0,59.0,"[11.90842, 11.20295, 12.08553, 11.74184]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",122.489,4.489,0.0922,0.7516,3.4511,119.0,59.0,"[9.765904, 10.05632, 9.599486, 9.646358]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",122.5909,4.5909,0.1174,0.8066,3.4514,122.0,59.0,"[8.93994, 9.275401, 9.354492, 9.161169]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",121.1417,3.1417,0.0694,0.9284,3.4512,103.0,59.0,"[7.976681, 7.640653, 8.22929, 8.056805]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",121.3835,3.3835,0.0888,0.9379,3.4512,105.0,59.0,"[7.918781, 7.924438, 7.976907, 7.759885]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",119.5918,3.5918,0.1094,0.9785,3.4512,105.0,58.0,"[7.483128, 7.379074, 7.737725, 7.670437]"
