Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",114.9773,4.9773,0.6573,0.103,5.1694,107.0,55.0,"[4.144614, 4.200059, 4.464899, 4.013002]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",119.3119,5.3119,1.2748,0.1197,5.9258,111.0,57.0,"[4.848942, 4.497912, 4.893846, 4.409118]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",121.6726,5.6726,1.9756,0.1382,6.5329,113.0,58.0,"[5.053832, 4.631505, 5.030167, 5.064595]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",125.1508,5.1508,1.0106,0.1381,6.5298,120.0,60.0,"[4.851321, 4.61424, 5.302108, 5.015412]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",129.5991,5.5991,1.9875,0.1817,7.4443,125.0,62.0,"[5.070729, 5.000619, 5.194648, 5.297034]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",131.8219,5.8219,3.2097,0.2095,8.0908,127.0,63.0,"[5.695304, 5.716654, 5.48446, 5.703769]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",133.2309,5.2309,1.302,0.1719,7.4356,132.0,64.0,"[5.513058, 5.191586, 5.645077, 5.256978]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",133.6124,5.6124,2.5773,0.2224,8.3367,138.0,64.0,"[5.845679, 6.048136, 5.657093, 5.864666]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",137.8116,5.8116,5.2642,0.2779,8.9892,141.0,66.0,"[6.054086, 6.494581, 5.711849, 6.062798]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",130.9019,4.9019,0.3999,0.1025,5.1685,112.0,63.0,"[4.211428, 4.003475, 4.284026, 4.406143]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",129.443,5.443,0.8322,0.1191,5.9237,113.0,62.0,"[4.618804, 4.63822, 4.635935, 4.852183]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",127.7134,5.7134,0.6335,0.1422,6.5478,113.0,61.0,"[5.034983, 4.802302, 4.62331, 4.800835]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",131.108,5.108,0.6517,0.1435,6.5287,122.0,63.0,"[4.875374, 4.473494, 4.870093, 4.811353]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",133.4261,5.4261,1.364,0.189,7.4369,126.0,64.0,"[4.655548, 5.069124, 4.98112, 5.034953]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",133.7035,5.7035,1.0576,0.2245,8.0879,127.0,64.0,"[4.986853, 5.268051, 5.281334, 5.538077]"
