Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",138.341,4.341,0.3989,0.2359,2.2748,114.0,67.0,"[14.58662, 14.09518, 14.36853, 14.76147]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",145.1111,5.1111,0.945,0.2331,2.3008,117.0,70.0,"[14.94448, 14.9429, 14.67278, 14.76632]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",149.3848,5.3848,1.9784,0.2307,2.3385,118.0,72.0,"[15.43166, 15.35126, 15.13666, 15.15909]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",152.6191,4.6191,0.5722,0.2571,2.3241,129.0,74.0,"[13.65071, 13.45396, 13.69464, 13.66789]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",157.2299,5.2299,1.4038,0.2566,2.3738,133.0,76.0,"[13.8801, 14.09632, 13.87464, 14.16023]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",161.4035,5.4035,3.2863,0.2559,2.4472,136.0,78.0,"[14.62702, 14.46958, 14.5349, 14.57525]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",160.7407,4.7407,0.6496,0.2616,2.3667,144.0,78.0,"[13.92578, 13.21044, 13.6675, 13.76751]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",165.3035,5.3035,1.8436,0.2608,2.443,149.0,80.0,"[14.75645, 14.21483, 13.99747, 14.03031]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",169.4216,5.4216,4.709,0.2737,2.5513,156.0,82.0,"[14.06483, 15.09235, 14.07303, 14.07251]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",162.3301,4.3301,0.3553,0.2432,2.2746,119.0,79.0,"[14.29039, 13.58405, 14.25357, 13.9376]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",153.1321,5.1321,0.7294,0.2371,2.2996,119.0,74.0,"[14.59734, 14.92914, 14.2902, 14.48127]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",155.3825,5.3825,1.5106,0.2372,2.3288,119.0,75.0,"[14.76162, 14.6938, 14.74832, 14.93856]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",156.6127,4.6127,0.4377,0.2616,2.3241,131.0,76.0,"[13.5444, 13.01968, 13.51228, 13.44504]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",159.243,5.243,1.0946,0.253,2.3734,133.0,77.0,"[13.80137, 14.7753, 14.06403, 14.15714]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",161.3982,5.3982,2.4583,0.262,2.4323,135.0,78.0,"[14.13306, 14.01036, 14.32899, 14.03003]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",162.741,4.741,0.5435,0.2622,2.3668,145.0,79.0,"[13.50354, 13.39487, 14.09479, 13.45405]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",167.2925,5.2925,1.4261,0.2712,2.4431,149.0,81.0,"[13.62847, 13.86155, 13.6937, 13.66292]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",169.4078,5.4078,3.2785,0.2729,2.5384,156.0,82.0,"[14.03312, 15.06288, 14.04521, 14.03145]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",162.3887,4.3887,0.4172,0.2261,2.332,119.0,79.0,"[14.9134, 14.36405, 14.89142, 15.01091]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",155.1465,5.1465,0.8852,0.2144,2.358,119.0,75.0,"[16.72217, 16.50383, 14.91034, 15.12048]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",153.3995,5.3995,2.0087,0.2255,2.3904,119.0,74.0,"[14.73561, 15.57395, 15.41891, 15.40808]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",154.6354,4.6354,0.5549,0.2452,2.383,131.0,75.0,"[13.99769, 13.6885, 13.89396, 14.47757]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",159.236,5.236,1.3714,0.2498,2.4363,133.0,77.0,"[14.19202, 14.08858, 14.0696, 14.19227]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",161.4115,5.4115,3.2593,0.249,2.5123,136.0,78.0,"[14.59631, 14.71687, 14.77585, 14.72752]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",164.7489,4.7489,0.6621,0.2533,2.4276,145.0,80.0,"[13.93586, 13.70733, 13.82812, 13.86862]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",167.3171,5.3171,1.8772,0.2568,2.5118,151.0,81.0,"[14.34308, 14.22239, 14.33579, 14.09285]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",171.4173,5.4173,4.6624,0.2661,2.6276,156.0,83.0,"[14.27234, 15.37833, 14.21725, 14.29274]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",164.3935,4.3935,0.3359,0.2279,2.3319,119.0,80.0,"[14.63977, 15.00477, 14.47454, 14.59425]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",155.1291,5.1291,0.7461,0.2307,2.3578,118.0,75.0,"[14.48227, 14.91695, 14.50765, 14.88428]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",155.3804,5.3804,1.5013,0.2307,2.3884,119.0,75.0,"[14.72135, 15.08576, 14.96997, 14.94597]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",156.6204,4.6204,0.4283,0.2522,2.3828,131.0,76.0,"[13.72923, 13.4752, 13.62374, 13.66172]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",161.226,5.226,1.1138,0.2498,2.4341,133.0,78.0,"[13.81331, 14.31213, 13.92713, 14.44371]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",163.3849,5.3849,2.4341,0.2544,2.5018,136.0,79.0,"[14.2666, 14.42662, 14.28213, 14.3348]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",162.7326,4.7326,0.5482,0.2594,2.4273,145.0,79.0,"[13.65663, 13.31232, 13.39201, 13.68539]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",167.2849,5.2849,1.4271,0.2635,2.5073,151.0,81.0,"[13.87888, 13.94387, 13.81551, 13.84757]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",171.4049,5.4049,3.2409,0.2629,2.6067,157.0,83.0,"[14.28502, 15.30327, 14.39848, 14.40844]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",162.3387,4.3387,0.4,0.2402,2.2745,119.0,79.0,"[14.05028, 13.85659, 14.30707, 14.54531]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",157.1366,5.1366,0.9792,0.2298,2.3012,119.0,76.0,"[14.93189, 15.36858, 15.07913, 14.79317]"
