Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",120.8374,4.8374,2.261,0.6187,8.8193,120.0,58.0,"[8.836679, 8.553056, 8.719676, 8.771406]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",125.1966,5.1966,2.721,0.6374,8.8206,123.0,60.0,"[8.598391, 8.432399, 8.298531, 8.541973]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",125.5922,5.5922,3.8525,0.6466,8.8219,124.0,60.0,"[8.346348, 8.396817, 8.314302, 8.347706]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",124.8729,4.8729,2.3925,0.658,8.8216,133.0,60.0,"[8.133049, 8.266376, 8.280575, 8.148914]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",127.2651,5.2651,2.9391,0.6657,8.8241,137.0,61.0,"[8.08979, 8.159619, 8.094041, 8.137416]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",129.6938,5.6938,4.2385,0.6686,8.8266,129.0,62.0,"[8.080058, 8.157523, 8.069177, 8.063191]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",127.0195,5.0195,2.4175,0.6629,8.8244,147.0,61.0,"[8.096473, 8.15014, 8.119961, 8.09111]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",127.4183,5.4183,2.9754,0.6664,8.8279,141.0,61.0,"[8.035996, 8.113466, 8.12464, 8.109854]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",129.7584,5.7584,4.2665,0.6712,8.8313,144.0,62.0,"[8.060866, 8.175601, 8.058351, 8.013331]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",126.8116,4.8116,2.2574,0.6233,8.8192,120.0,61.0,"[8.739361, 8.569092, 8.525161, 8.786219]"
