Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",126.4483,4.4483,0.4172,6.0783,5.2825,115.0,61.0,"[10.87052, 10.83227, 10.77465, 10.78484]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",128.8605,4.8605,0.968,7.662,5.2829,122.0,62.0,"[8.257649, 8.384471, 8.412862, 8.728571]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",131.262,5.262,1.6918,9.2536,5.2854,125.0,63.0,"[7.213451, 7.233249, 7.179457, 7.153558]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",136.5193,4.5193,0.8431,10.105,5.2851,134.0,66.0,"[6.645135, 6.565947, 6.514539, 6.489848]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",136.9105,4.9105,1.8035,12.0411,5.2817,143.0,66.0,"[5.237839, 5.488392, 5.433907, 5.298641]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",139.2238,5.2238,2.9312,13.3003,5.2841,148.0,67.0,"[4.873068, 4.901499, 4.804447, 4.907815]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",138.5805,4.5805,0.9855,11.8634,5.2822,154.0,67.0,"[5.24009, 5.596827, 5.715027, 5.497443]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",138.9354,4.9354,2.2766,14.3188,5.2806,159.0,67.0,"[4.639041, 4.42602, 4.543913, 4.451173]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",141.2486,5.2486,3.768,15.5028,5.2839,173.0,68.0,"[4.000691, 4.19676, 4.187021, 4.211981]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",134.4653,4.4653,0.1767,6.0224,5.2831,117.0,65.0,"[11.20262, 10.91314, 11.18091, 10.93341]"
