Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",113.9827,1.9827,0.1167,0.0957,8.972,98.0,56.0,"[1.480856, 1.452131, 1.517891, 1.444258]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",118.1629,2.1629,0.1554,0.0963,8.9762,101.0,58.0,"[1.459784, 1.495876, 1.449672, 1.4897]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",122.3227,2.3227,0.2012,0.0979,8.981,100.0,60.0,"[1.408688, 1.47283, 1.499932, 1.448558]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",122.2516,2.2516,0.1077,0.0984,8.9809,101.0,60.0,"[1.447196, 1.447996, 1.427393, 1.476948]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",122.5946,2.5946,0.1482,0.0989,8.9857,102.0,60.0,"[1.458131, 1.441414, 1.495351, 1.477845]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",120.9047,2.9047,0.2055,0.1025,8.9919,103.0,59.0,"[1.445743, 1.398902, 1.426518, 1.472173]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",120.6655,2.6655,0.0852,0.1004,8.9851,100.0,59.0,"[1.446894, 1.433582, 1.441288, 1.417483]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",123.1295,3.1295,0.1262,0.1036,8.9952,115.0,60.0,"[1.387819, 1.445112, 1.42507, 1.455999]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",121.6522,3.6522,0.1661,0.0916,9.0047,101.0,59.0,"[1.646114, 1.664271, 1.635676, 1.682064]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",119.9744,1.9744,0.119,0.0963,8.9695,100.0,59.0,"[1.463274, 1.451121, 1.462048, 1.475483]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",120.198,2.198,0.1582,0.0974,8.9725,102.0,59.0,"[1.453425, 1.45534, 1.429619, 1.482601]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",120.5169,2.5169,0.1997,0.0976,8.9759,102.0,59.0,"[1.50625, 1.471033, 1.41019, 1.450536]"
