Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",139.8409,3.8409,2.7427,18.309,2.6948,124.0,68.0,"[86.76003, 88.44558, 89.90118, 87.99115]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",148.6053,4.6053,4.1111,22.2436,2.6951,128.0,72.0,"[73.43352, 72.04868, 72.39296, 72.84991]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",151.2243,5.2243,7.5409,26.2668,2.6954,131.0,73.0,"[61.54253, 61.4185, 61.28835, 61.93592]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",157.8081,3.8081,3.3942,31.2081,2.6949,143.0,77.0,"[52.98859, 51.44505, 51.8586, 50.87877]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",162.515,4.515,5.8293,37.3897,2.6952,151.0,79.0,"[43.50539, 43.29171, 42.94999, 43.30911]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",165.0908,5.0908,10.2797,42.7157,2.6955,154.0,80.0,"[38.0648, 37.96812, 37.76107, 37.7093]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",165.8866,3.8866,3.8778,39.5439,2.695,159.0,81.0,"[40.18017, 40.44484, 41.46877, 40.09671]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",166.5965,4.5965,6.9391,45.7465,2.6953,170.0,81.0,"[35.47607, 35.56519, 34.76512, 34.836]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",171.1434,5.1434,12.1604,51.6019,2.6956,176.0,83.0,"[31.13387, 32.46541, 30.73081, 31.0913]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",157.5882,3.5882,2.657,18.9123,2.6949,126.0,77.0,"[85.23757, 84.20869, 83.00722, 89.39105]"
