Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",122.62,4.62,10.0449,31.7618,10.8256,117.0,59.0,"[13.55903, 13.47862, 13.90135, 13.75534]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",125.2283,5.2283,15.2496,32.3465,10.8258,119.0,60.0,"[14.31946, 13.07205, 13.06628, 13.25708]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",127.5997,5.5997,21.8913,32.6128,10.8256,120.0,61.0,"[13.55791, 13.2911, 13.31631, 13.11823]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",130.7519,4.7519,11.6266,38.7044,10.8249,128.0,63.0,"[11.20147, 11.07867, 11.23062, 11.38413]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",137.3168,5.3168,19.1782,40.4126,10.8248,131.0,66.0,"[10.81107, 10.76924, 10.72289, 10.70697]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",139.5777,5.5777,25.9488,37.6797,10.8243,137.0,67.0,"[11.59133, 11.30154, 11.58089, 11.66828]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",138.8481,4.8481,12.2643,40.0022,10.8245,140.0,67.0,"[11.6457, 10.36093, 10.50248, 10.56867]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",141.3961,5.3961,19.9503,39.8491,10.8235,145.0,68.0,"[10.49581, 10.75963, 11.54377, 10.55888]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",145.5978,5.5978,27.9049,38.7461,10.8232,151.0,70.0,"[10.92672, 11.61804, 11.17796, 11.17269]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",138.5917,4.5917,9.6866,31.2378,10.8256,119.0,67.0,"[14.09982, 13.80099, 13.75893, 13.95217]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",133.2185,5.2185,15.7489,32.9236,10.8257,120.0,64.0,"[12.91239, 13.48417, 13.07557, 13.30076]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",131.4857,5.4857,22.5315,33.5754,10.8255,122.0,63.0,"[12.75122, 13.08609, 12.62383, 13.29452]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",136.695,4.695,11.6211,38.7248,10.8249,129.0,66.0,"[12.03317, 10.94842, 10.95139, 10.93783]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",139.2832,5.2832,18.9095,38.9505,10.8247,132.0,67.0,"[11.13482, 11.59407, 10.97146, 10.92372]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",141.4497,5.4497,25.6712,38.0129,10.8241,134.0,68.0,"[11.53746, 11.38246, 11.34945, 11.46727]"
