Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",123.037,5.037,21.3424,47.7152,10.9441,134.0,59.0,"[12.65296, 12.75928, 13.69265, 13.97451]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",128.5139,6.5139,27.777,47.928,10.944,139.0,61.0,"[12.07848, 14.35496, 14.40308, 12.00692]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",138.9174,14.9174,30.3542,34.9354,10.944,131.0,62.0,"[18.14439, 18.13215, 18.14796, 18.0715]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",137.1082,5.1082,32.2105,72.0375,10.9441,162.0,66.0,"[8.855315, 8.916562, 8.903731, 8.482435]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",140.9879,6.9879,42.5778,73.5789,10.9441,170.0,67.0,"[8.292394, 8.256684, 8.308919, 9.563418]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",148.3808,14.3808,48.3589,55.7679,10.9441,156.0,67.0,"[11.21575, 11.44056, 11.38211, 11.37658]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",141.2774,5.2774,37.0417,82.7724,10.9439,187.0,68.0,"[7.67687, 7.621161, 7.613921, 7.416491]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",143.1515,7.1515,45.5505,78.5044,10.9439,184.0,68.0,"[7.984306, 8.061036, 8.012834, 8.015669]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",148.184,14.184,58.7446,67.7792,10.9441,179.0,67.0,"[9.325888, 9.506565, 9.260533, 9.274155]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",136.9878,4.9878,21.7183,48.6704,10.9441,136.0,66.0,"[13.52415, 12.47585, 13.55275, 12.48494]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",136.5151,6.5151,26.9063,46.4979,10.944,140.0,65.0,"[11.81985, 14.37734, 13.29159, 14.97988]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",142.4983,14.4983,30.5704,35.3154,10.944,134.0,64.0,"[17.92369, 17.94436, 17.91968, 17.92836]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'balanced']",139.0483,5.0483,31.8033,71.1441,10.9441,161.0,67.0,"[8.887434, 8.886703, 8.921024, 8.904397]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'balanced']",144.4983,6.4983,39.7749,68.7749,10.944,168.0,69.0,"[9.717428, 9.217288, 8.225528, 9.665446]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'balanced']",149.9672,13.9672,49.017,56.4885,10.944,157.0,68.0,"[11.12493, 11.34447, 11.14794, 11.21819]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'balanced']",143.1408,5.1408,38.3047,85.4282,10.9439,186.0,69.0,"[7.394011, 7.40876, 7.409302, 7.178321]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'balanced']",145.0955,7.0955,45.7408,78.7841,10.9439,190.0,69.0,"[7.987824, 7.874456, 7.997317, 8.100361]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'balanced']",149.7138,13.7138,58.7405,67.7197,10.9441,179.0,68.0,"[9.340564, 9.481067, 9.265891, 9.312409]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",135.041,5.041,21.43,47.9194,10.944,136.0,65.0,"[13.557, 12.47055, 13.97535, 12.84986]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",134.4012,6.4012,24.5767,42.329,10.944,140.0,64.0,"[15.37002, 16.21624, 16.19457, 12.05246]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",142.9434,14.9434,30.2528,34.8064,10.944,132.0,64.0,"[18.1628, 18.38155, 18.09476, 18.12569]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",139.1207,5.1207,31.1057,69.5813,10.9441,162.0,67.0,"[9.17066, 9.10837, 9.060807, 9.059158]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",140.5347,6.5347,38.6778,66.7225,10.9441,164.0,67.0,"[9.964406, 9.761169, 9.943804, 8.289239]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",148.4778,14.4778,48.4806,55.9176,10.944,158.0,67.0,"[11.16394, 11.38081, 11.39159, 11.3571]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",139.279,5.279,37.1338,82.9423,10.9439,186.0,67.0,"[7.635235, 7.581028, 7.426951, 7.623174]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",143.1096,7.1096,44.3591,76.4231,10.9439,187.0,68.0,"[8.263704, 8.239061, 8.234559, 8.210057]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",152.3206,14.3206,58.6624,67.7037,10.9441,179.0,69.0,"[9.293701, 9.515537, 9.275197, 9.324443]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",134.9611,4.9611,21.7269,48.6953,10.9441,136.0,65.0,"[13.11036, 12.45197, 13.75397, 12.69473]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",134.3822,6.3822,27.9601,48.3506,10.944,139.0,64.0,"[12.95883, 15.69611, 11.84094, 11.88565]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",142.7144,14.7144,30.5824,35.2804,10.944,138.0,64.0,"[17.928, 17.95382, 17.94211, 17.96314]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",137.0738,5.0738,31.9747,71.5243,10.9441,161.0,66.0,"[8.268447, 8.917534, 9.122065, 9.102312]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",140.4335,6.4335,37.6927,65.0634,10.944,168.0,67.0,"[9.740101, 9.735241, 9.733978, 9.717209]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",148.094,14.094,48.7711,56.185,10.9441,157.0,67.0,"[11.2139, 11.48168, 11.17168, 11.21056]"
