Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",128.5883,12.5883,1.6551,7.1633,13.0387,120.0,58.0,"[12.83273, 12.14246, 10.08665, 10.07826]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",129.891,9.891,2.0395,8.9144,13.0549,124.0,60.0,"[10.26526, 8.611292, 10.03923, 8.810277]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",129.964,9.964,3.7107,10.1379,13.0516,127.0,60.0,"[9.674951, 8.21999, 8.635656, 9.667578]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",136.6157,12.6157,2.2184,9.3879,13.0472,132.0,62.0,"[12.77466, 10.45784, 12.55439, 10.4927]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",139.4396,13.4396,2.7707,9.0774,13.0839,134.0,63.0,"[8.942664, 11.73895, 11.4842, 10.65168]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",140.5389,12.5389,4.2414,12.8721,13.0351,139.0,64.0,"[10.43189, 11.01457, 9.401419, 10.62465]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",142.6459,14.6459,2.2292,7.8064,13.0789,142.0,64.0,"[10.22406, 12.73472, 13.17701, 13.36038]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",142.915,12.915,2.7534,11.1089,13.0666,149.0,65.0,"[10.41772, 10.03301, 10.10393, 10.49204]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",143.9062,11.9062,5.8856,12.1185,13.0376,152.0,66.0,"[10.84238, 11.62851, 12.49088, 11.05985]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'balanced']",139.3282,13.3282,1.6648,7.0129,13.0375,120.0,63.0,"[12.60121, 12.73407, 10.50606, 10.07142]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'balanced']",135.3515,11.3515,2.0283,8.7742,13.0343,125.0,62.0,"[9.042545, 9.450425, 8.578217, 9.648635]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'balanced']",133.6791,11.6791,3.4564,9.5281,13.0477,126.0,61.0,"[8.155025, 9.672539, 8.168439, 8.782321]"
