bench	 density	 maxflops(Gflops)	 maxBW(GB/s)	 minTime(secs)	 NRUNS
benchsp1 	0.50	 380.394	 760.787	 0.00767205	 10
benchsp2 	1.00	 656.679	 656.679	 0.00888836	 10
benchsp3 	1.50	 831.752	 554.502	 0.01052621	 10
benchsp4 	2.00	 984.354	 492.177	 0.01185915	 10
benchsp5 	2.50	 1100.827	 440.331	 0.01325549	 10
benchsp6 	3.00	 1312.714	 437.571	 0.01333908	 10
benchsp7 	3.50	 1368.017	 390.862	 0.01493314	 10
benchsp8 	4.00	 1396.864	 349.216	 0.01671401	 10
benchsp9 	4.50	 1484.238	 329.831	 0.01769635	 10
benchsp10 	5.00	 1525.390	 305.078	 0.01913216	 10
benchsp11 	5.50	 1416.207	 257.492	 0.02266787	 10
benchsp12 	6.00	 1514.128	 252.355	 0.02312935	 10
benchsp13 	6.50	 1561.133	 240.174	 0.02430235	 10
benchsp14 	7.00	 1623.766	 231.967	 0.02516224	 10
benchsp15 	7.50	 1623.562	 216.475	 0.02696293	 10
benchsp16 	8.00	 1675.171	 209.396	 0.02787442	 10
benchsp17 	8.50	 1650.541	 194.181	 0.03005850	 10
benchsp18 	9.00	 1705.581	 189.509	 0.03079960	 10
benchsp19 	9.50	 1719.182	 180.967	 0.03225348	 10
benchsp20 	10.00	 1679.330	 167.933	 0.03475672	 10
benchsp25 	12.50	 1585.377	 126.830	 0.04602061	 10
benchsp30 	15.00	 1746.300	 116.420	 0.05013572	 10
benchsp35 	17.50	 1777.322	 101.561	 0.05747072	 10
benchsp40 	20.00	 1732.438	 86.622	 0.06738251	 10
benchsp50 	25.00	 1858.244	 74.330	 0.07852575	 10
benchsp60 	30.00	 1845.673	 61.522	 0.09487270	 10
benchsp70 	35.00	 1835.629	 52.447	 0.11129043	 10
benchsp80 	40.00	 1861.310	 46.533	 0.12543421	 10
benchsp90 	45.00	 1873.729	 41.638	 0.14017822	 10
benchsp100 	50.00	 1904.754	 38.095	 0.15321661	 10
benchsp110 	55.00	 1894.153	 34.439	 0.16948158	 10
benchsp120 	60.00	 1935.457	 32.258	 0.18094328	 10
benchsp130 	65.00	 1949.084	 29.986	 0.19465139	 10
benchsp140 	70.00	 1952.404	 27.891	 0.20926819	 10
benchsp150 	75.00	 1953.241	 26.043	 0.22411985	 10
benchsp160 	80.00	 1955.294	 24.441	 0.23881007	 10
benchsp170 	85.00	 1956.292	 23.015	 0.25360634	 10
benchsp180 	90.00	 1959.141	 21.768	 0.26813381	 10
benchsp190 	95.00	 1960.526	 20.637	 0.28283028	 10
benchsp200 	100.00	 1955.726	 19.557	 0.29844677	 10
benchsp210 	105.00	 1957.213	 18.640	 0.31313094	 10
benchsp220 	110.00	 1954.159	 17.765	 0.32855463	 10
benchsp230 	115.00	 1950.411	 16.960	 0.34414901	 10
benchsp240 	120.00	 1964.577	 16.371	 0.35652261	 10
benchsp250 	125.00	 1968.155	 15.745	 0.37070251	 10
benchsp260 	130.00	 1969.790	 15.152	 0.38521053	 10
benchsp270 	135.00	 1970.289	 14.595	 0.39992500	 10
benchsp280 	140.00	 1971.550	 14.082	 0.41447186	 10
benchsp290 	145.00	 1977.192	 13.636	 0.42804951	 10
benchsp300 	150.00	 1976.575	 13.177	 0.44294806	 10
benchdp1 	0.25	 190.198	 760.790	 0.00767202	 10
benchdp2 	0.50	 329.557	 659.114	 0.00885553	 10
benchdp3 	0.75	 423.468	 564.624	 0.01033749	 10
