Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",0.21084,200.29218,5.29218,42.22904,52.05956,8.25683,138.0,57.0,34.03352
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",0.26587,215.91938,6.91938,57.40716,57.00771,8.25684,147.0,62.0,31.07955
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",0.31427,223.6087,10.6087,70.2743,48.81369,8.25685,149.0,64.0,36.29676
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",0.29712,247.4688,5.4688,73.52822,90.66087,8.25684,172.0,70.0,19.54293
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",0.27324,248.80173,8.80173,67.98365,67.42035,8.25686,168.0,72.0,26.27971
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",0.3532,252.97138,12.97138,89.35002,63.21346,8.25688,168.0,72.0,28.02877
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",0.30134,271.74715,6.74715,81.88699,100.61686,8.25686,190.0,75.0,17.45427
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",0.24814,267.38182,11.38182,66.34909,65.62659,8.25689,180.0,76.0,26.83889
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",0.32939,272.39868,15.39868,89.72557,63.54393,8.25691,180.0,77.0,27.88326
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",0.17517,224.26968,5.26968,39.28472,48.43282,8.25683,145.0,74.0,36.58206
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",0.26187,220.77912,6.77912,57.81493,57.35677,8.25684,146.0,68.0,30.89043
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",0.3094,227.59691,10.59691,70.41813,48.91316,8.25685,150.0,67.0,36.22298
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",0.29003,248.43664,5.43664,72.05339,88.85914,8.25685,171.0,72.0,19.93921
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",0.27017,251.9169,8.9169,68.06022,67.52346,8.25687,171.0,72.0,26.23962
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",0.35121,255.63461,12.63461,89.78129,63.5206,8.25689,170.0,73.0,27.89329
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",0.28883,276.81925,6.81925,79.9528,98.23682,8.25687,193.0,77.0,17.87717
